SubjID,nw_target,nw_response_time,nw_famsize,simp_comp,nw_LogBf
103,princemant,994,S,COMP,6.81
103,fanfil,793,S,COMP,6.16
103,beerel,995,S,COMP,6.75
103,aridilm,845,S,COMP,4.61
103,freenels,869,L,COMP,8.89
103,dumbidy,977,S,COMP,5.5
103,pitchody,746,L,COMP,6.41
103,tripady,881,L,COMP,7.23
103,towerly,994,L,SIMP,7.07
103,antilm,952,S,COMP,5.33
103,blooder,961,L,SIMP,8.29
103,shootment,981,L,SIMP,7.51
103,valider,992,L,SIMP,6.43
103,thrillance,709,S,SIMP,5.73
103,warnory,909,S,SIMP,7.44
103,winkity,860,S,SIMP,5.38
103,schemeness,843,S,SIMP,7.39
103,taxful,995,L,SIMP,7.92
103,nullish,994,S,SIMP,3.81
103,passmant,717,L,COMP,9.21
103,meltange,862,S,COMP,6.06
103,poority,798,L,SIMP,8.38
103,begence,787,L,SIMP,6.4
103,gasfil,718,L,COMP,7.31
103,habitic,794,L,SIMP,7.63
103,weldig,919,S,COMP,4.86
103,truenels,761,S,COMP,NA
103,flipody,735,L,COMP,5.21
103,inkilm,993,L,COMP,5.67
103,socketer,688,S,SIMP,4.96
103,humidoes,699,S,COMP,4.52
103,classous,613,L,SIMP,8.73
104,figer,770,S,COMP,5.28
104,mouthize,907,L,COMP,7.96
104,northize,990,L,COMP,7.84
104,breakity,888,L,COMP,8.76
104,agreely,625,L,COMP,8.46
104,sheeter,991,L,COMP,6.92
104,pickenge,846,L,SIMP,8.13
104,nutla,879,L,SIMP,6.85
104,urnilt,827,S,SIMP,4.22
104,growilt,807,L,SIMP,9.05
104,employness,599,L,COMP,8.44
104,rampime,878,S,SIMP,4.55
104,pitchory,762,L,COMP,6.41
104,stirance,893,L,COMP,6.73
104,digody,733,S,SIMP,6.66
104,meltance,993,S,COMP,6.06
104,bogady,727,L,SIMP,5.56
104,mudly,793,L,COMP,6.82
104,medicalady,947,S,SIMP,7.19
104,altaric,990,S,COMP,6
104,curtity,990,S,COMP,4.48
104,beerer,986,S,COMP,6.75
104,fellowous,4714,L,COMP,7.19
104,weldic,859,S,COMP,4.86
104,passment,890,L,COMP,9.21
104,humidous,663,S,COMP,4.52
104,tiltady,990,S,SIMP,5.79
104,socketel,893,S,SIMP,4.96
104,gasful,653,L,COMP,7.31
104,helmetoes,747,S,SIMP,5.49
104,flitence,816,L,COMP,6.4
104,pillize,691,S,COMP,6.29
104,zoomfil,676,S,SIMP,3.53
104,tripary,969,L,COMP,7.23
104,beanith,796,L,SIMP,6.05
104,nextnels,727,S,SIMP,8.91
104,bindic,846,L,COMP,6.11
104,elbowilm,992,L,SIMP,7.47
104,ripence,949,L,COMP,6.15
104,prayange,814,L,SIMP,6.96
104,ejectence,600,S,COMP,4.19
104,freeness,955,L,COMP,8.89
104,illist,995,L,COMP,7.77
104,bandady,995,L,SIMP,6.89
104,towerla,803,L,SIMP,7.07
104,nullith,876,S,SIMP,3.81
104,shootmant,837,L,SIMP,7.51
104,feverime,900,S,SIMP,6.39
104,dressody,827,L,SIMP,8.26
104,habitig,802,L,SIMP,7.63
104,trueness,584,S,COMP,NA
104,validel,644,L,SIMP,6.43
104,happenance,592,S,COMP,8.85
104,smoothfil,775,L,SIMP,6.95
104,heirig,660,S,SIMP,5.35
104,aridism,695,S,COMP,4.61
104,yieldilt,655,S,SIMP,6.42
104,pooridy,632,L,SIMP,8.38
104,treasonize,899,S,COMP,4.93
104,angelish,833,L,COMP,6.48
104,bearilt,669,L,SIMP,7.87
104,lidary,912,S,COMP,6.26
104,witchith,646,L,SIMP,6.79
104,inkism,858,L,COMP,5.67
104,advertisela,769,S,SIMP,1.56
104,elmist,618,S,COMP,5.16
104,taxfil,833,L,SIMP,7.92
104,schemenels,694,S,SIMP,7.39
104,begenge,38621,L,SIMP,6.4
104,criticange,644,L,SIMP,7.91
104,adoptish,965,S,COMP,7.09
104,thrillange,868,S,SIMP,5.73
104,dumbity,518,S,COMP,5.5
104,heightence,639,S,COMP,6.82
104,coldity,796,L,COMP,8.18
104,yankory,712,S,COMP,3.93
104,princement,810,S,COMP,6.81
104,classoes,688,L,SIMP,8.73
104,flipory,754,L,COMP,5.21
104,winkidy,876,S,SIMP,5.38
104,warnody,592,S,SIMP,7.44
104,bloodel,472,L,SIMP,8.29
104,boltoes,627,S,SIMP,5.85
104,baskody,706,S,SIMP,4.22
104,jawla,572,S,SIMP,6.03
104,longnels,597,L,SIMP,9.86
104,fanful,754,S,COMP,6.16
104,addment,722,L,COMP,8.68
104,brancher,966,S,COMP,7.43
104,wigith,731,L,SIMP,5.57
104,antism,993,S,COMP,5.33
104,debtish,723,S,COMP,6.49
104,kingism,455,L,COMP,7.73
104,aidig,621,S,SIMP,7.06
104,acremant,637,S,SIMP,6.56
104,earilt,642,L,SIMP,2.77
104,boilous,805,L,COMP,7
104,gumfil,691,S,SIMP,4.04
104,opposemant,899,S,SIMP,6.9
104,fiendism,809,S,COMP,3.97
105,rampize,532,S,SIMP,4.55
105,blooder,425,L,SIMP,8.29
105,heiric,996,S,SIMP,5.35
105,fellowoes,680,L,COMP,7.19
105,nullish,651,S,SIMP,3.81
105,beanish,292,L,SIMP,6.05
105,warnory,793,S,SIMP,7.44
105,flipody,637,L,COMP,5.21
105,beerel,528,S,COMP,6.75
105,flitenge,566,L,COMP,6.4
105,yankody,614,S,COMP,3.93
105,longness,338,L,SIMP,9.86
105,boltous,649,S,SIMP,5.85
105,earist,994,L,SIMP,2.77
105,sheetel,701,L,COMP,6.92
105,shootment,724,L,SIMP,7.51
105,treasonime,645,S,COMP,4.93
105,branchel,879,S,COMP,7.43
105,acrement,659,S,SIMP,6.56
105,feverize,652,S,SIMP,6.39
