"","subject_nr","target","response_time","famsize","LogBf"
"169",103,"tossing",996,"S",6.01
"170",103,"excitement",993,"L",7.56
"171",103,"cleaner",995,"L",7.96
"172",103,"enjoyment",988,"S",7.93
"173",103,"professor",995,"L",8.18
"174",103,"mossy",994,"S",5
"175",103,"madness",654,"L",7.17
"176",103,"parking",495,"L",7.57
"177",103,"wrongly",794,"L",8.17
"178",103,"editor",604,"L",7.17
"179",103,"design",844,"S",8.1
"180",103,"amazement",612,"S",6.78
"181",103,"bossy",554,"S",6.31
"182",103,"buyer",736,"S",8.39
"183",103,"jailer",706,"S",6.52
"184",103,"teacher",696,"S",8.64
"185",103,"costly",707,"S",8.35
"186",103,"chilly",681,"S",6.19
"187",103,"noticeable",804,"S",8.14
"188",103,"sailor",745,"L",6.61
"189",103,"kicking",726,"L",6.92
"190",103,"planner",606,"S",8.61
"191",103,"destroyer",413,"S",7.55
"192",103,"quietly",478,"L",7.9
"193",103,"guilty",684,"S",7.36
"194",103,"dancer",660,"L",7.6
"195",103,"magical",612,"S",6.92
"196",103,"guileless",804,"L",4.11
"197",103,"locally",560,"S",8.41
"198",103,"cloudless",901,"L",7.07
"199",103,"listener",490,"S",8.03
"200",103,"raider",575,"S",6.22
"201",104,"locker",502,"L",7.41
"202",104,"guarding",566,"L",7.62
"203",104,"neatly",481,"S",6.83
"204",104,"quietly",530,"L",7.9
"205",104,"chilly",524,"S",6.19
"206",104,"hugely",932,"S",7.56
"207",104,"bossy",485,"S",6.31
"208",104,"shameful",614,"L",6.9
"209",104,"painter",510,"L",8.21
"210",104,"cleaner",580,"L",7.96
"211",104,"peaking",694,"S",6.3
"212",104,"shapely",631,"L",7.55
"213",104,"dampish",657,"L",6.43
"214",104,"blindness",534,"L",6.93
"215",104,"barker",657,"L",5.96
"216",104,"allowance",697,"S",8.52
"217",104,"wrongly",587,"L",8.17
"218",104,"flexible",538,"L",6.5
"219",104,"tossing",569,"S",6.01
"220",104,"buyer",659,"S",8.39
"221",104,"bomber",629,"L",7.1
"222",104,"cooling",805,"L",7.27
"223",104,"mildness",888,"S",6.52
"224",104,"puncher",548,"L",5.78
"225",104,"conductor",635,"L",6.99
"226",104,"speller",640,"L",6.66
"227",104,"campaigner",772,"S",7.6
"228",104,"risky",518,"S",7.51
"229",104,"renter",610,"L",7.43
"230",104,"weedy",557,"L",6.59
"231",104,"effortless",572,"S",7.81
"232",104,"guilty",753,"S",7.36
"233",104,"pusher",639,"L",7.83
"234",104,"insistent",984,"S",7.4
"235",104,"madness",705,"L",7.17
"236",104,"mossy",548,"S",5
"237",104,"creamy",516,"L",6.67
"238",104,"feeder",680,"L",7.94
"239",104,"amusement",628,"S",6.75
"240",104,"attacker",628,"S",8.13
"241",104,"collector",688,"L",8.08
"242",104,"angelic",734,"S",6.34
"243",104,"striker",688,"L",8.14
"244",104,"enjoyment",542,"S",7.93
"245",104,"verbal",667,"L",6.05
"246",104,"jailer",718,"S",6.52
"247",104,"destroyer",563,"S",7.55
"248",104,"editor",653,"L",7.17
"249",104,"toaster",604,"S",5.83
"250",104,"professor",427,"L",8.18
"251",104,"doubtful",686,"L",8.33
"252",104,"jumping",579,"L",7.24
"253",104,"avoidable",547,"S",7.68
"254",104,"costly",40490,"S",8.35
"255",104,"richness",619,"S",7.96
"256",104,"guileless",914,"L",4.11
"257",104,"excitement",642,"L",7.56
"258",104,"detectable",693,"S",6.89
"259",104,"composer",692,"L",7.08
"260",104,"stylish",638,"L",7.66
"261",104,"tutoring",759,"S",6.212606096
"262",104,"dullness",583,"S",6.56
"263",104,"cloudless",560,"L",7.07
"264",104,"design",531,"S",8.1
"265",104,"laughing",602,"L",8.34
"266",104,"dreamer",583,"L",7.75
"267",104,"densely",706,"S",6.48
"268",104,"raider",995,"S",6.22
"269",104,"strangeness",766,"S",7.98
"270",104,"heater",819,"L",7.97
"271",104,"listener",651,"S",8.03
"272",104,"amazement",628,"S",6.78
"273",104,"boneless",993,"L",7.31
"274",104,"singer",628,"S",7.69
"275",104,"grimly",496,"S",6.31
"276",104,"bearded",525,"S",6.36
"277",104,"hunter",486,"L",7.47
"278",104,"sailor",635,"L",6.61
"279",104,"magical",526,"S",6.92
"280",104,"dietary",729,"S",7.07
"281",104,"dancer",420,"L",7.6
"282",104,"boldness",541,"S",5.94
"283",104,"faithful",600,"L",7.19
"284",104,"seeker",547,"S",7.68
"285",104,"thruster",866,"S",6.37
"286",104,"parking",651,"L",7.57
"287",104,"lender",564,"S",6.22
"288",104,"kicking",569,"L",6.92
"289",104,"harmless",662,"S",7
"290",104,"awareness",628,"S",7.78
"291",104,"noticeable",636,"S",8.14
"292",104,"planner",537,"S",8.61
"293",104,"widowed",774,"S",6.21
"294",104,"deafness",668,"L",5.67
"295",104,"dryness",617,"L",7.77
"296",104,"locally",653,"S",8.41
"297",104,"knocker",564,"L",7.01
"298",104,"swimmer",558,"L",7.04
"299",104,"teacher",474,"S",8.64
"300",104,"bootless",439,"L",6.85
"301",105,"cleaner",762,"L",7.96
"302",105,"stylish",420,"L",7.66
"303",105,"amazement",525,"S",6.78
"304",105,"madness",407,"L",7.17
"305",105,"composer",498,"L",7.08
"306",105,"jumping",432,"L",7.24
"307",105,"bomber",527,"L",7.1
"308",105,"thruster",448,"S",6.37
"309",105,"costly",609,"S",8.35
"310",105,"pusher",548,"L",7.83
"311",105,"heater",395,"L",7.97
"312",105,"richness",492,"S",7.96
"313",105,"noticeable",447,"S",8.14
"314",105,"sailor",477,"L",6.61
"315",105,"neatly",487,"S",6.83
"316",105,"magical",524,"S",6.92
"317",105,"flexible",436,"L",6.5
"318",105,"knocker",448,"L",7.01
"319",105,"jailer",575,"S",6.52
"320",105,"dietary",774,"S",7.07
"321",105,"bootless",904,"L",6.85
"322",105,"hunter",568,"L",7.47
"323",105,"allowance",680,"S",8.52
"324",105,"teacher",521,"S",8.64
"325",105,"campaigner",528,"S",7.6
"326",105,"peaking",737,"S",6.3
"327",105,"mossy",24964,"S",5
"328",105,"dreamer",394,"L",7.75
"329",105,"guileless",722,"L",4.11
"330",105,"deafness",697,"L",5.67
"331",105,"strangeness",465,"S",7.98
"332",105,"angelic",545,"S",6.34
"333",105,"densely",628,"S",6.48
"334",105,"bearded",590,"S",6.36
"335",105,"buyer",457,"S",8.39
"336",105,"insistent",797,"S",7.4
"337",105,"guarding",624,"L",7.62
"338",105,"chilly",492,"S",6.19
"339",105,"cooling",629,"L",7.27
"340",105,"seeker",493,"S",7.68
"341",105,"blindness",568,"L",6.93
"342",105,"lender",487,"S",6.22
"343",105,"painter",435,"L",8.21
"344",105,"barker",445,"L",5.96
"345",105,"puncher",528,"L",5.78
"346",105,"dullness",625,"S",6.56
"347",105,"parking",660,"L",7.57
"348",105,"shameful",577,"L",6.9
"349",105,"dryness",685,"L",7.77
"350",105,"enjoyment",657,"S",7.93
"351",105,"faithful",407,"L",7.19
"352",105,"mildness",628,"S",6.52
"353",105,"collector",489,"L",8.08
"354",105,"amusement",392,"S",6.75
"355",105,"toaster",511,"S",5.83
"356",105,"speller",609,"L",6.66
"357",105,"bossy",624,"S",6.31
"358",105,"tossing",754,"S",6.01
"359",105,"guilty",531,"S",7.36
"360",105,"swimmer",590,"L",7.04
"361",105,"quietly",509,"L",7.9
"362",105,"design",554,"S",8.1
"363",105,"locally",531,"S",8.41
"364",105,"cloudless",775,"L",7.07
"365",105,"locker",657,"L",7.41
"366",105,"professor",437,"L",8.18
"367",105,"dancer",374,"L",7.6
"368",105,"attacker",530,"S",8.13
"369",105,"editor",498,"L",7.17
"370",105,"grimly",657,"S",6.31
"371",105,"verbal",489,"L",6.05
"372",105,"widowed",524,"S",6.21
"373",105,"weedy",801,"L",6.59
"374",105,"striker",581,"L",8.14
"375",105,"risky",432,"S",7.51
"376",105,"wrongly",42045,"L",8.17
"377",105,"creamy",435,"L",6.67
"378",105,"kicking",459,"L",6.92
"379",105,"conductor",423,"L",6.99
"380",105,"listener",470,"S",8.03
"381",105,"singer",346,"S",7.69
"382",105,"awareness",555,"S",7.78
"383",105,"feeder",447,"L",7.94
"384",105,"raider",563,"S",6.22
"385",105,"excitement",460,"L",7.56
"386",105,"harmless",676,"S",7
"387",105,"doubtful",490,"L",8.33
"388",105,"renter",618,"L",7.43
"389",105,"shapely",521,"L",7.55
"390",105,"destroyer",516,"S",7.55
"391",105,"hugely",718,"S",7.56
"392",105,"planner",578,"S",8.61
"393",105,"laughing",565,"L",8.34
"394",105,"boneless",769,"L",7.31
"395",105,"tutoring",617,"S",6.212606096
"396",105,"detectable",646,"S",6.89
"397",105,"dampish",632,"L",6.43
"398",105,"avoidable",561,"S",7.68
"399",105,"effortless",619,"S",7.81
"400",105,"boldness",610,"S",5.94
"401",106,"puncher",994,"L",5.78
"402",106,"verbal",577,"L",6.05
"403",106,"locally",630,"S",8.41
"404",106,"neatly",664,"S",6.83
