base,word,Word.2,OkayToUse,Word.3,Condition,cond_trig,word_trig,complexity,affix,Source,FS,BF,LogBF,FS_Split,BF_Split,BaseLength,WholeFormLength,Sublist
warn,warnory,warnory,TRUE,WARNORY,NW_S_COMP,203,12,Complex,ory,Crepaldi,5,1697,7.44,S,L,4.00,7.00,2
weld,weldic,weldic,TRUE,WELDIC,NW_S_COMP,203,21,Complex,ic,RastleFiller,3,129,4.86,S,S,4.00,6.00,1
weld,weldig,weldig,TRUE,WELDIG,NW_S_SIMP,205,21,Simple,ic,RastleFiller,3,129,4.86,S,S,4.00,6.00,1
wig,wigish,wigish,TRUE,WIGISH,NW_L_COMP,204,9,Complex,ish,Crepaldi,8,262,5.57,L,S,3.00,6.00,2
wig,wigith,wigith,TRUE,WIGITH,NW_L_SIMP,206,9,Simple,ish,Crepaldi,8,262,5.57,L,S,3.00,6.00,2
wink,winkidy,winkidy,TRUE,WINKIDY,NW_S_SIMP,205,21,Simple,ity,RastleFiller,4,216,5.38,S,S,4.00,7.00,2
wink,winkity,winkity,TRUE,WINKITY,NW_S_COMP,203,21,Complex,ity,RastleFiller,4,216,5.38,S,S,4.00,7.00,2
witch,witchish,witchish,TRUE,WITCHISH,NW_L_COMP,204,11,Complex,ish,Crepaldi,11,890,6.79,L,L,5.00,8.00,2
witch,witchith,witchith,TRUE,WITCHITH,NW_L_SIMP,206,11,Simple,ish,Crepaldi,11,890,6.79,L,L,5.00,8.00,2
yank,yankody,yankody,TRUE,YANKODY,NW_S_SIMP,205,23,Simple,ory,RastleFiller,2,51,3.93,S,S,4.00,7.00,1
yank,yankory,yankory,TRUE,YANKORY,NW_S_COMP,203,23,Complex,ory,RastleFiller,2,51,3.93,S,S,4.00,7.00,1
yield,yieldilt,yieldilt,TRUE,YIELDILT,NW_S_SIMP,205,20,Simple,ist,RastleFiller,4,613,6.42,S,S,5.00,8.00,2
yield,yieldist,yieldist,TRUE,YIELDIST,NW_S_COMP,203,20,Complex,ist,RastleFiller,4,613,6.42,S,S,5.00,8.00,2
zoom,zoomfil,zoomfil,TRUE,ZOOMFIL,NW_S_SIMP,205,19,Simple,ful,RastleFiller,2,34,3.53,S,S,4.00,7.00,2
zoom,zoomful,zoomful,TRUE,ZOOMFUL,NW_S_COMP,203,19,Complex,ful,RastleFiller,2,34,3.53,S,S,4.00,7.00,2
