base,word,Word.2,OkayToUse,Word.3,Condition,cond_trig,word_trig,complexity,affix,Source,FS,BF,LogBF,FS_Split,BF_Split,BaseLength,WholeFormLength,Sublist
bolt,boltous,boltous,TRUE,BOLTOUS,NW_S_COMP,203,13,Complex,ous,Crepaldi,6,348,5.85,S,S,4.00,7.00,2
branch,branchel,branchel,TRUE,BRANCHEL,NW_S_SIMP,205,16,Simple,er,Graves,3,1692,7.43,S,L,6.00,8.00,1
branch,brancher,brancher,TRUE,BRANCHER,NW_S_COMP,203,16,Complex,er,Graves,3,1692,7.43,S,L,6.00,8.00,1
break,breakidy,breakidy,TRUE,BREAKIDY,NW_L_SIMP,206,23,Simple,ity,RastleFiller,43,6366,8.76,L,L,5.00,8.00,1
break,breakity,breakity,TRUE,BREAKITY,NW_L_COMP,204,23,Complex,ity,RastleFiller,43,6366,8.76,L,L,5.00,8.00,1
class,classoes,classoes,TRUE,CLASSOES,NW_L_SIMP,206,18,Simple,ous,Crepaldi,29,6216,8.73,L,L,5.00,8.00,2
class,classous,classous,TRUE,CLASSOUS,NW_L_COMP,204,18,Complex,ous,Crepaldi,29,6216,8.73,L,L,5.00,8.00,2
cold,coldidy,coldidy,TRUE,COLDIDY,NW_L_SIMP,206,10,Simple,ity,Crepaldi,14,3585,8.18,L,L,4.00,7.00,1
cold,coldity,coldity,TRUE,COLDITY,NW_L_COMP,204,10,Complex,ity,Crepaldi,14,3585,8.18,L,L,4.00,7.00,1
critic,criticance,criticance,TRUE,CRITICANCE,NW_L_COMP,204,22,Complex,ize,Rastle,11,2720,7.91,L,L,6.00,10.00,2
critic,criticange,criticange,TRUE,CRITICANGE,NW_L_SIMP,206,22,Simple,ize,Rastle,11,2720,7.91,L,L,6.00,10.00,2
curt,curtidy,curtidy,TRUE,CURTIDY,NW_S_SIMP,205,11,Simple,ity,Crepaldi,3,88,4.48,S,S,4.00,7.00,1
curt,curtity,curtity,TRUE,CURTITY,NW_S_COMP,203,11,Complex,ity,Crepaldi,3,88,4.48,S,S,4.00,7.00,1
debt,debtish,debtish,TRUE,DEBTISH,NW_S_COMP,203,22,Complex,ish,RastleFiller,4,656,6.49,S,S,4.00,7.00,1
debt,debtith,debtith,TRUE,DEBTITH,NW_S_SIMP,205,22,Simple,ish,RastleFiller,4,656,6.49,S,S,4.00,7.00,1
dig,digody,digody,TRUE,DIGODY,NW_S_SIMP,205,11,Simple,ory,Crepaldi,3,777,6.66,S,L,3.00,6.00,2
dig,digory,digory,TRUE,DIGORY,NW_S_COMP,203,11,Complex,ory,Crepaldi,3,777,6.66,S,L,3.00,6.00,2
dumb,dumbidy,dumbidy,TRUE,DUMBIDY,NW_S_SIMP,205,12,Simple,ity,Crepaldi,6,244,5.50,S,S,4.00,7.00,1
dumb,dumbity,dumbity,TRUE,DUMBITY,NW_S_COMP,203,12,Complex,ity,Crepaldi,6,244,5.50,S,S,4.00,7.00,1
ear,earilt,earilt,TRUE,EARILT,NW_L_SIMP,206,12,Simple,ist,Crepaldi,16,1711,2.77,L,S,3.00,6.00,2
ear,earist,earist,TRUE,EARIST,NW_L_COMP,204,12,Complex,ist,Crepaldi,16,1711,2.77,L,S,3.00,6.00,2
eject,ejectence,ejectence,TRUE,EJECTENCE,NW_S_COMP,203,20,Complex,ence,RastleFiller,5,66,4.19,S,S,5.00,9.00,1
eject,ejectenge,ejectenge,TRUE,EJECTENGE,NW_S_SIMP,205,20,Simple,ence,RastleFiller,5,66,4.19,S,S,5.00,9.00,1
elbow,elbowilm,elbowilm,TRUE,ELBOWILM,NW_L_SIMP,206,10,Simple,ish,Crepaldi,18,1756,7.47,L,L,5.00,8.00,2
elbow,elbowism,elbowism,TRUE,ELBOWISM,NW_L_COMP,204,10,Complex,ish,Crepaldi,18,1756,7.47,L,L,5.00,8.00,2
elm,elmilt,elmilt,TRUE,ELMILT,NW_S_SIMP,205,10,Simple,ist,Crepaldi,2,175,5.16,S,S,3.00,6.00,1
elm,elmist,elmist,TRUE,ELMIST,NW_S_COMP,203,10,Complex,ist,Crepaldi,2,175,5.16,S,S,3.00,6.00,1
employ,employnels,employnels,TRUE,EMPLOYNELS,NW_L_SIMP,206,21,Simple,ness,Rastle,12,4622,8.44,L,L,6.00,10.00,1
employ,employness,employness,TRUE,EMPLOYNESS,NW_L_COMP,204,21,Complex,ness,Rastle,12,4622,8.44,L,L,6.00,10.00,1
fan,fanfil,fanfil,TRUE,FANFIL,NW_S_SIMP,205,6,Simple,ful,Crepaldi,4,473,6.16,S,S,3.00,6.00,1
fan,fanful,fanful,TRUE,FANFUL,NW_S_COMP,203,6,Complex,ful,Crepaldi,4,473,6.16,S,S,3.00,6.00,1
fellow,fellowoes,fellowoes,TRUE,FELLOWOES,NW_L_SIMP,206,17,Simple,ous,Crepaldi,11,1324,7.19,L,L,6.00,9.00,1
fellow,fellowous,fellowous,TRUE,FELLOWOUS,NW_L_COMP,204,17,Complex,ous,Crepaldi,11,1324,7.19,L,L,6.00,9.00,1
fever,feverime,feverime,TRUE,FEVERIME,NW_S_SIMP,205,24,Simple,ize,XuTaft,4,594,6.39,S,S,5.00,8.00,2
fever,feverize,feverize,TRUE,FEVERIZE,NW_S_COMP,203,24,Complex,ize,XuTaft,4,594,6.39,S,S,5.00,8.00,2
fiend,fiendilm,fiendilm,TRUE,FIENDILM,NW_S_SIMP,205,24,Simple,ism,XuTaft,4,53,3.97,S,S,5.00,8.00,1
fiend,fiendism,fiendism,TRUE,FIENDISM,NW_S_COMP,203,24,Complex,ism,XuTaft,4,53,3.97,S,S,5.00,8.00,1
fig,figel,figel,TRUE,FIGEL,NW_S_SIMP,205,4,Simple,er,Crepaldi,3,196,5.28,S,S,3.00,5.00,1
fig,figer,figer,TRUE,FIGER,NW_S_COMP,203,4,Complex,er,Crepaldi,3,196,5.28,S,S,3.00,5.00,1
flip,flipody,flipody,TRUE,FLIPODY,NW_L_SIMP,206,16,Simple,ory,Crepaldi,10,184,5.21,L,S,4.00,7.00,1
flip,flipory,flipory,TRUE,FLIPORY,NW_L_COMP,204,16,Complex,ory,Crepaldi,10,184,5.21,L,S,4.00,7.00,1
flit,flitence,flitence,TRUE,FLITENCE,NW_L_COMP,204,3,Complex,ence,Crepaldi,11,599,6.40,L,S,4.00,8.00,1
flit,flitenge,flitenge,TRUE,FLITENGE,NW_L_SIMP,206,3,Simple,ence,Crepaldi,11,599,6.40,L,S,4.00,8.00,1
free,freenels,freenels,TRUE,FREENELS,NW_L_SIMP,206,15,Simple,ness,Crepaldi,88,7277,8.89,L,L,4.00,8.00,1
free,freeness,freeness,TRUE,FREENESS,NW_L_COMP,204,15,Complex,ness,Crepaldi,88,7277,8.89,L,L,4.00,8.00,1
gas,gasfil,gasfil,TRUE,GASFIL,NW_L_SIMP,206,6,Simple,ful,Crepaldi,33,1501,7.31,L,L,3.00,6.00,1
gas,gasful,gasful,TRUE,GASFUL,NW_L_COMP,204,6,Complex,ful,Crepaldi,33,1501,7.31,L,L,3.00,6.00,1
grow,growilt,growilt,TRUE,GROWILT,NW_L_SIMP,206,20,Simple,ic,Graves,14,8545,9.05,L,L,4.00,7.00,2
grow,growist,growist,TRUE,GROWIST,NW_L_COMP,204,20,Complex,ic,Graves,14,8545,9.05,L,L,4.00,7.00,2
gum,gumfil,gumfil,TRUE,GUMFIL,NW_S_SIMP,205,2,Simple,ful,Crepaldi,2,57,4.04,S,S,3.00,6.00,2
gum,gumful,gumful,TRUE,GUMFUL,NW_S_COMP,203,2,Complex,ful,Crepaldi,2,57,4.04,S,S,3.00,6.00,2
habit,habitic,habitic,TRUE,HABITIC,NW_L_COMP,204,7,Complex,ic,Crepaldi,16,2066,7.63,L,L,5.00,7.00,2
habit,habitig,habitig,TRUE,HABITIG,NW_L_SIMP,206,7,Simple,ic,Crepaldi,16,2066,7.63,L,L,5.00,7.00,2
happen,happenance,happenance,TRUE,HAPPENANCE,NW_S_COMP,203,2,Complex,ance,Crepaldi,3,6982,8.85,S,L,6.00,10.00,1
happen,happenange,happenange,TRUE,HAPPENANGE,NW_S_SIMP,205,2,Simple,ance,Crepaldi,3,6982,8.85,S,L,6.00,10.00,1
height,heightence,heightence,TRUE,HEIGHTENCE,NW_S_COMP,203,18,Complex,ence,Rastle,2,912,6.82,S,L,6.00,10.00,1
height,heightenge,heightenge,TRUE,HEIGHTENGE,NW_S_SIMP,205,18,Simple,ence,Rastle,2,912,6.82,S,L,6.00,10.00,1
heir,heiric,heiric,TRUE,HEIRIC,NW_S_COMP,203,3,Complex,ic,Crepaldi,3,211,5.35,S,S,4.00,6.00,2
heir,heirig,heirig,TRUE,HEIRIG,NW_S_SIMP,205,3,Simple,ic,Crepaldi,3,211,5.35,S,S,4.00,6.00,2
helmet,helmetoes,helmetoes,TRUE,HELMETOES,NW_S_SIMP,205,14,Simple,ous,Crepaldi,6,242,5.49,S,S,6.00,9.00,2
helmet,helmetous,helmetous,TRUE,HELMETOUS,NW_S_COMP,203,14,Complex,ous,Crepaldi,6,242,5.49,S,S,6.00,9.00,2
humid,humidoes,humidoes,TRUE,HUMIDOES,NW_S_SIMP,205,25,Simple,ous,XuTaft,4,92,4.52,S,S,5.00,8.00,1
