SubjID,ART,Spelling,Vocabulary,Sex,z_ART,z_Vocabulary,z_Spelling,Dim.1,Dim.2,lang_type_ortho,lang_type_semantic
S101,7,55,33,Male,-0.666166908570445,-1.40785640268341,-1.44005249784219,-1.958643300436861,-0.6528250463901849,Low Orthographic,Low Semantic
S103,15,69,41,Female,1.00095848313405,0.0204885547168065,0.828960109458974,1.0212418753904418,0.46052373966656424,High Orthographic,High Semantic
S104,8,62,42,Female,-0.457776234607382,0.199031674391834,-0.305546194191609,-0.3016885412245452,-0.21265899135960892,Low Orthographic,Low Semantic
S105,12,64,32,Female,0.375786461244866,-1.58639952235844,0.0185984639942719,-0.7637508708481677,0.43398789074142335,High Orthographic,Low Semantic
S106,9,77,44,Female,-0.24938556064432,0.556117913741889,2.1255387422025,1.1210114137042948,1.81889077769402,High Orthographic,High Semantic
S107,6,68,38,Female,-0.874557582533507,-0.515140804308276,0.666887780366034,-0.6039536357045341,1.0261756516304705,High Orthographic,Low Semantic
S108,11,69,42,Female,0.167395787281804,0.199031674391834,0.828960109458974,0.5967947769198071,0.6396551942314972,High Orthographic,High Semantic
S109,11,70,44,Female,0.167395787281804,0.556117913741889,0.991032438551914,0.8958362319281296,0.6688808242139536,High Orthographic,High Semantic
S110,9,68,29,Female,-0.24938556064432,-2.12202888138352,0.666887780366034,-1.2277634494988612,1.378784628613208,High Orthographic,Low Semantic
S111,8,66,37,Female,-0.457776234607382,-0.693683923983304,0.342743122180153,-0.5901150593021576,0.6715706052712692,High Orthographic,Low Semantic
S112,5,69,37,Female,-1.08294825649657,-0.693683923983304,0.828960109458974,-0.7821720398415958,1.292015914429423,High Orthographic,Low Semantic
S113,20,63,48,Female,2.04291185294936,1.270290392442,-0.143473865098668,2.0700900835630893,-1.1340038432955954,Low Orthographic,High Semantic
S114,5,51,32,Male,-1.08294825649657,-1.58639952235844,-2.08834181421395,-2.62473650065002,-1.0638253773880704,Low Orthographic,Low Semantic
S115,6,64,45,Female,-0.874557582533507,0.734661033416917,0.0185984639942719,-0.0871282963790912,0.023895735507122755,High Orthographic,Low Semantic
S116,10,64,46,Female,-0.040994886681258,0.913204153091944,0.0185984639942719,0.5657176233393746,-0.27328603855028005,Low Orthographic,High Semantic
S117,-3,63,35,Male,-2.75007364820107,-1.05077016333336,-0.143473865098668,-2.511719681841476,1.0027237656946728,High Orthographic,Low Semantic
S118,11,67,46,Female,0.167395787281804,0.913204153091944,0.504815451273093,0.9123071518944864,0.1090026562967058,High Orthographic,High Semantic
S119,16,61,43,Male,1.20934915709712,0.377574794066862,-0.467618523284549,0.8191612538279786,-0.8952733292031053,Low Orthographic,High Semantic
S120,9,55,42,Female,-0.24938556064432,0.199031674391834,-1.44005249784219,-0.6615253502743481,-1.3031297912618822,Low Orthographic,Low Semantic
S122,3,61,31,Female,-1.49972960442269,-1.76494264203347,-0.467618523284549,-2.301832828216295,0.5870375842630081,High Orthographic,Low Semantic
S123,11,68,48,Female,0.167395787281804,1.270290392442,0.666887780366034,1.2113486069028088,0.1382282862791623,High Orthographic,High Semantic
S124,17,64,48,Female,1.41773983106018,1.270290392442,0.0185984639942719,1.7367478355026684,-0.8081104330872936,Low Orthographic,High Semantic
S125,15,71,48,Female,1.00095848313405,1.270290392442,1.15310476764485,1.9619230172788336,0.3418995203927722,High Orthographic,High Semantic
