SubjID,response_time,correct,targ_type,cond_trig,word_trig,target,experiment_file,word,Base,affix,Source,FS,BF,LogBF,FS_Split,BaseLength,WholeFormLength,famsize
S101,657,1,CW_S,201,45,RICHNESS,AB_m21,richness,rich,ness,FORD,7,2868,7.96,S,4,8,Small
S101,438,1,CW_S,201,46,STRANGENESS,AB_m21,strangeness,strange,ness,FORD,4,2912,7.98,S,7,11,Small
S101,645,0,CW_S,201,47,MOSSY,AB_m21,mossy,moss,y,Graves,3,149,5,S,4,5,Small
S101,337,1,CW_S,201,48,CHILLY,AB_m21,chilly,chill,y,RastleFiller,7,488,6.19,S,5,6,Small
S101,622,1,CW_S,201,49,BOSSY,AB_m21,bossy,boss,y,Graves,6,551,6.31,S,4,5,Small
S101,524,1,CW_S,201,50,RISKY,AB_m21,risky,risk,y,RastleFiller,5,1827,7.51,S,4,5,Small
S101,656,1,CW_L,202,1,PUNCHER,AB_m21,puncher,punch,er,RastleFiller,17,325,5.78,L,5,7,Large
S101,996,0,CW_L,202,2,BARKER,AB_m21,barker,bark,er,Graves,8,387,5.96,L,4,6,Large
S101,586,1,CW_L,202,3,SPELLER,AB_m21,speller,spell,er,RastleFiller,10,781,6.66,L,5,7,Large
S101,454,1,CW_L,202,4,KNOCKER,AB_m21,knocker,knock,er,RastleFiller,15,1104,7.01,L,5,7,Large
S101,663,1,CW_L,202,5,SWIMMER,AB_m21,swimmer,swim,er,FORD,11,1145,7.04,L,4,7,Large
S101,471,1,CW_L,202,6,COMPOSER,AB_m21,composer,compose,er,FORD,13,1187,7.08,L,7,8,Large
S101,457,1,CW_L,202,7,BOMBER,AB_m21,bomber,bomb,er,Rastle,24,1208,7.1,L,4,6,Large
S101,435,1,CW_L,202,8,LOCKER,AB_m21,locker,lock,er,RastleFiller,18,1654,7.41,L,4,6,Large
S101,536,1,CW_L,202,9,RENTER,AB_m21,renter,rent,er,RastleFiller,13,1690,7.43,L,4,6,Large
S101,888,1,CW_L,202,10,HUNTER,AB_m21,hunter,hunt,er,FORD,18,1762,7.47,L,4,6,Large
S101,993,0,CW_L,202,11,DANCER,AB_m21,dancer,dance,er,FORD,16,2003,7.6,L,5,6,Large
S101,852,1,CW_L,202,12,DREAMER,AB_m21,dreamer,dream,er,Rastle,19,2325,7.75,L,5,7,Large
S101,402,1,CW_L,202,13,PUSHER,AB_m21,pusher,push,er,RastleFiller,17,2507,7.83,L,4,6,Large
S101,533,1,CW_L,202,14,FEEDER,AB_m21,feeder,feed,er,FORD,11,2806,7.94,L,4,6,Large
S101,664,1,CW_L,202,15,CLEANER,AB_m21,cleaner,clean,er,XuTaft,29,2854,7.96,L,5,7,Large
S101,543,1,CW_L,202,16,HEATER,AB_m21,heater,heat,er,FORD,15,2881,7.97,L,4,6,Large
