subject_nr,counter,cond_trig,word_trig,targ_type,target,correct,response_time
S201,1,206,13,NW_L_SIMP,POORIDY,0,1221
S201,2,207,50,FILL_W,SMOKE,0,117
S201,3,201,38,CW_S,AMUSEMENT,0,1220
S201,4,202,18,CW_L,PAINTER,1,980
S201,5,202,23,CW_L,KICKING,1,704
S201,6,202,13,CW_L,PUSHER,1,837
S201,7,202,24,CW_L,COOLING,1,649
S201,8,207,25,FILL_W,EAT,1,597
S201,9,208,43,FILL_NW,SOISE,1,775
S201,10,205,1,NW_S_SIMP,SOCKETEL,1,807
S201,11,201,26,CW_S,TOSSING,1,990
S201,12,208,29,FILL_NW,HESK,1,700
S201,13,202,43,CW_L,SAILOR,1,713
S201,14,208,35,FILL_NW,PHEEKS,1,777
S201,15,206,17,NW_L_SIMP,LONGNELS,1,779
S201,16,205,3,NW_S_SIMP,HEIRIG,0,1220
S201,17,207,33,FILL_W,IRON,1,742
S201,18,208,2,FILL_NW,BALFS,1,707
S201,19,204,10,NW_L_COMP,COLDITY,1,776
S201,20,202,32,CW_L,BOOTLESS,0,1219
S201,21,208,38,FILL_NW,POLT,1,722
S201,22,204,6,NW_L_COMP,GASFUL,0,1221
S201,23,202,40,CW_L,BLINDNESS,1,621
S201,24,208,16,FILL_NW,DOWED,1,888
S201,25,208,13,FILL_NW,DASP,1,751
S201,26,201,44,CW_S,AWARENESS,1,1140
S201,27,205,13,NW_S_SIMP,BOLTOES,1,1029
S201,28,201,49,CW_S,BOSSY,1,748
S201,29,207,38,FILL_W,COOK,1,559
S201,30,207,45,FILL_W,TAX,1,663
S201,31,204,3,NW_L_COMP,FLITENCE,0,1221
S201,32,204,23,NW_L_COMP,BREAKITY,1,917
S201,33,201,6,CW_S,DIETARY,1,774
S201,34,208,9,FILL_NW,BUWL,1,684
S201,35,208,46,FILL_NW,VELT,1,798
S201,36,206,20,NW_L_SIMP,GROWILT,1,1165
S201,37,201,33,CW_S,NEATLY,0,1221
S201,38,208,37,FILL_NW,PLAODS,1,828
S201,39,208,30,FILL_NW,HOITS,1,686
S201,40,203,14,NW_S_COMP,TREASONIZE,0,1220
S201,41,206,1,NW_L_SIMP,PRAYANGE,1,833
S201,42,201,42,CW_S,MILDNESS,0,1220
S201,43,206,7,NW_L_SIMP,HABITIG,1,837
S201,44,207,24,FILL_W,FIERCE,1,762
S201,45,208,50,FILL_NW,BORMS,1,788
S201,46,206,3,NW_L_SIMP,BANDADY,1,780
S201,47,204,4,NW_L_COMP,RIPENCE,1,955
S201,48,207,10,FILL_W,BRASS,1,709
S201,49,208,18,FILL_NW,DULKS,1,789
S201,50,204,24,NW_L_COMP,AGREELY,1,1157
S201,51,207,12,FILL_W,WEAVE,1,864
S201,52,207,44,FILL_W,OLD,1,722
S201,53,201,8,CW_S,BEARDED,0,1220
S201,54,202,28,CW_L,DAMPISH,0,1220
S201,55,207,16,FILL_W,STEEP,0,1221
S201,56,202,29,CW_L,STYLISH,1,688
S201,57,201,47,CW_S,MOSSY,1,685
S201,58,201,30,CW_S,EFFORTLESS,1,996
S201,59,207,43,FILL_W,SOFT,1,594
S201,60,203,19,NW_S_COMP,ADOPTISH,1,940
S201,61,201,16,CW_S,SEEKER,1,688
S201,62,202,48,CW_L,WEEDY,0,1036
S201,63,202,22,CW_L,FLEXIBLE,1,614
S201,64,206,25,NW_L_SIMP,BEARILT,1,1071
S201,65,201,37,CW_S,LOCALLY,1,727
S201,66,204,12,NW_L_COMP,MUDLY,1,947
S201,67,202,7,CW_L,BOMBER,1,1123
S201,68,208,22,FILL_NW,FROT,1,733
S201,69,202,4,CW_L,KNOCKER,0,1220
S201,70,201,19,CW_S,DESIGN,1,589
S201,71,202,45,CW_L,EDITOR,1,649
S201,72,207,41,FILL_W,PACK,0,1221
S201,73,207,32,FILL_W,FLESH,1,1203
S201,74,205,25,NW_S_SIMP,ADVERTISELA,1,1124
S201,75,207,28,FILL_W,GOLF,1,746
S201,76,202,27,CW_L,LAUGHING,0,1221
S201,77,202,3,CW_L,SPELLER,1,700
S201,78,203,21,NW_S_COMP,WELDIC,1,748
S201,79,202,39,CW_L,DEAFNESS,1,704
S201,80,207,23,FILL_W,LITHE,1,1132
S201,81,207,39,FILL_W,LIFT,1,642
S201,82,207,42,FILL_W,BOX,1,576
S201,83,201,5,CW_S,ALLOWANCE,1,597
S201,84,202,21,CW_L,DOUBTFUL,1,787
S201,85,206,23,NW_L_SIMP,VALIDEL,1,795
S201,86,205,21,NW_S_SIMP,WINKIDY,1,960
S201,87,208,28,FILL_NW,HEND,1,720
S201,88,208,21,FILL_NW,FROES,1,1009
S201,89,203,18,NW_S_COMP,HEIGHTENCE,1,1144
S201,90,201,14,CW_S,DESTROYER,1,1066
S201,91,207,19,FILL_W,DRUNK,1,661
S201,92,202,31,CW_L,GUILELESS,0,889
S201,93,207,17,FILL_W,FOLLOW,1,684
S201,94,203,8,NW_S_COMP,ANTISM,0,1221
S201,95,202,10,CW_L,HUNTER,1,636
S201,96,203,9,NW_S_COMP,ARIDISM,1,847
S201,97,205,4,NW_S_SIMP,AIDIG,1,932
S201,98,203,24,NW_S_COMP,FIENDISM,0,1221
S201,99,206,11,NW_L_SIMP,WITCHITH,1,1038
S201,100,205,18,NW_S_SIMP,MEDICALADY,1,1006
S201,101,202,49,CW_L,CREAMY,1,891
S201,102,202,38,CW_L,EXCITEMENT,1,845
S201,103,204,7,NW_L_COMP,ANGELISH,0,1164
S201,104,204,17,NW_L_COMP,FELLOWOUS,1,879
