Base,STRING,target,affix,Source,WrdFrq,Log10WF,LogLNWF,BF,Log10BF,LogLNBF,LogBF,FS,FS_Split,BaseLength,WholeFormLength,cond_trig,word_trig,targ_type
allow,allowance,allowance,ance,RastleFiller,18.4428,1.26583,2.91467,5014,3.70018,8.51999,8.52,5,S,5,9,201,5,CW_S
amaze,amazement,amazement,ment,FORD,10.5897,1.02488,2.35988,878,2.94349,6.77765,6.78,4,S,5,9,201,39,CW_S
amuse,amusement,amusement,ment,FORD,10.5897,1.02488,2.35988,857,2.93298,6.75344,6.75,3,S,5,9,201,38,CW_S
angel,angelic,angelic,ic,Rastle,2.08225,0.31853,0.73345,567,2.75358,6.34036,6.34,7,S,5,7,201,25,CW_S
attack,attacker,attacker,er,FORD,5.94928,0.77446,1.78327,3385,3.52956,8.12711,8.13,6,S,6,8,201,20,CW_S
avoid,avoidable,avoidable,able,XuTaft,1.18986,0.07550,0.17384,2172,3.33686,7.68340,7.68,5,S,5,9,201,2,CW_S
aware,awareness,awareness,ness,FORD,25.4629,1.40591,3.23722,2391,3.37858,7.77947,7.78,4,S,5,9,201,44,CW_S
bark,barker,barker,er,Graves,3.80754,0.58064,1.33698,387,2.58771,5.95842,5.96,8,L,4,6,202,2,CW_L
beard,bearded,bearded,ed,Rastle,7.31761,0.86437,1.99028,578,2.76193,6.35957,6.36,7,S,5,7,201,8,CW_S
blind,blindness,blindness,ness,FORD,4.52145,0.65528,1.50883,1024,3.01030,6.93147,6.93,16,L,5,9,202,40,CW_L
bold,boldness,boldness,ness,RastleFiller,1.84428,0.26583,0.61209,379,2.57864,5.93754,5.94,7,S,4,8,201,41,CW_S
bomb,bomber,bomber,er,Rastle,2.97464,0.47343,1.09012,1208,3.08207,7.09672,7.1,24,L,4,6,202,7,CW_L
bone,boneless,boneless,less,Graves,0.356957,-0.44738,-1.03014,1490,3.17319,7.30653,7.31,35,L,4,8,202,34,CW_L
boot,bootless,bootless,less,Graves,0.0594928,-1.22554,-2.82190,940,2.97313,6.84588,6.85,19,L,4,8,202,32,CW_L
boss,bossy,bossy,y,Graves,1.90377,0.27961,0.64384,551,2.74115,6.31173,6.31,6,S,4,5,201,49,CW_S
buy,buyer,buyer,er,FORD,4.04551,0.60697,1.39761,4386,3.64207,8.38617,8.39,3,S,3,5,201,21,CW_S
campaign,campaigner,campaigner,er,FORD,1.78478,0.25158,0.57930,2003,3.30168,7.60240,7.6,3,S,8,10,201,15,CW_S
chill,chilly,chilly,y,RastleFiller,5.47333,0.73825,1.69989,488,2.68842,6.19032,6.19,7,S,5,6,201,48,CW_S
clean,cleaner,cleaner,er,XuTaft,9.8163,0.99195,2.28404,2854,3.45545,7.95648,7.96,29,L,5,7,202,15,CW_L
