cond_trig,word_trig,targ_type,target
206,10,NW_L_SIMP,elbowism
206,11,NW_L_SIMP,witchish
206,12,NW_L_SIMP,earist
206,13,NW_L_SIMP,poority
206,14,NW_L_SIMP,nutly
206,15,NW_L_SIMP,towerly
206,16,NW_L_SIMP,shootment
206,17,NW_L_SIMP,longness
206,18,NW_L_SIMP,classous
206,19,NW_L_SIMP,smoothful
206,20,NW_L_SIMP,growist
206,21,NW_L_SIMP,dressory
206,22,NW_L_SIMP,criticance
206,23,NW_L_SIMP,valider
206,24,NW_L_SIMP,blooder
206,25,NW_L_SIMP,bearist
207,1,FILL_W,flirt
207,2,FILL_W,weird
207,3,FILL_W,bald
207,4,FILL_W,blunt
207,5,FILL_W,bleak
207,6,FILL_W,slim
207,7,FILL_W,preach
207,8,FILL_W,brisk
207,9,FILL_W,leak
207,10,FILL_W,brass
207,11,FILL_W,chip
207,12,FILL_W,weave
207,13,FILL_W,wreck
207,14,FILL_W,gloom
207,15,FILL_W,starve
207,16,FILL_W,steep
207,17,FILL_W,follow
207,18,FILL_W,cease
207,19,FILL_W,drunk
207,20,FILL_W,crunch
207,21,FILL_W,quit
207,22,FILL_W,splice
207,23,FILL_W,lithe
207,24,FILL_W,fierce
207,25,FILL_W,eat
207,26,FILL_W,mourn
207,27,FILL_W,stalk
207,28,FILL_W,golf
207,29,FILL_W,bake
207,30,FILL_W,float
207,31,FILL_W,faint
207,32,FILL_W,flesh
207,33,FILL_W,iron
207,34,FILL_W,taste
207,35,FILL_W,legal
207,36,FILL_W,sick
207,37,FILL_W,ship
207,38,FILL_W,cook
207,39,FILL_W,lift
207,40,FILL_W,sought
207,41,FILL_W,pack
207,42,FILL_W,box
207,43,FILL_W,soft
207,44,FILL_W,old
207,45,FILL_W,tax
207,46,FILL_W,save
207,47,FILL_W,test
207,48,FILL_W,treat
207,49,FILL_W,suit
207,50,FILL_W,smoke
208,1,FILL_NW,bafed
208,2,FILL_NW,balfs
208,3,FILL_NW,blanth
208,4,FILL_NW,broups
208,5,FILL_NW,bute
208,6,FILL_NW,cinds
208,7,FILL_NW,corg
208,8,FILL_NW,blays
208,9,FILL_NW,buwl
208,10,FILL_NW,darf
208,11,FILL_NW,darm
208,12,FILL_NW,dask
208,13,FILL_NW,dasp
208,14,FILL_NW,delp
208,15,FILL_NW,doads
208,16,FILL_NW,dowed
208,17,FILL_NW,droes
208,18,FILL_NW,dulks
208,19,FILL_NW,falons
208,20,FILL_NW,tremp
208,21,FILL_NW,froes
208,22,FILL_NW,frot
208,23,FILL_NW,gairs
208,24,FILL_NW,gike
208,25,FILL_NW,giln
208,26,FILL_NW,heas
208,27,FILL_NW,heem
208,28,FILL_NW,hend
208,29,FILL_NW,hesk
208,30,FILL_NW,hoits
208,31,FILL_NW,jads
208,32,FILL_NW,kemt
208,33,FILL_NW,kraise
208,34,FILL_NW,lolds
208,35,FILL_NW,pheeks
208,36,FILL_NW,pifth
208,37,FILL_NW,plaods
208,38,FILL_NW,polt
208,39,FILL_NW,pords
208,40,FILL_NW,pucts
208,41,FILL_NW,scure
208,42,FILL_NW,smade
208,43,FILL_NW,soise
208,44,FILL_NW,tueer
208,45,FILL_NW,ulns
208,46,FILL_NW,velt
208,47,FILL_NW,vogs
208,48,FILL_NW,voofs
208,49,FILL_NW,vunks
208,50,FILL_NW,borms
