SubjID,TestSite,ExclReason,Included VSL2,Included LDT,Date ,Sex,Age,Ethnicity,Race,handedness_score,read_for_pleasure,born_in_us,first_language,language_disability,spl_cor,spl_inc,spl_perc,vcb_cor,vcb_inc,vcb_perc,art_cor,art_inc,art_diff,TOWRE_rank,TOWRE_descriptor,hits,misses,correctRejections,falseAlarms,totalTrials,hit_rate,fa_rate,hit_rate_z,fa_rate_z,d_prime_raw,d_prime_zscore,sensitivity
123,Hampshire,,1,1,2/1/2018,Female,18,Not Hispanic or Latino,White,7,4-6 hours,Yes,English,No,68,12,85,48,2,96,44,22,22,,,24,8,24,8,32,0.75,0.25,1.1111644771605100,-1.111164477160510,0.5,2.2223289543210100,Sensitive
124,Hampshire,,1,1,2/2/2018,Female,20,Not Hispanic or Latino,White,11,4-6 hours,Yes,English,No,64,16,80,48,2,96,50,16,34,,,14,18,14,18,32,0.4375,0.5625,-0.970709910197721,0.9707099101977210,-0.125,-1.9414198203954400,Insensitive
125,Hampshire,,1,1,3/1/2018,Male,21,Not Hispanic or Latino,White,11,1-3 hours,Yes,English,No,71,9,88.75,48,2,96,48,18,30,,,14,18,14,18,32,0.4375,0.5625,-0.970709910197721,0.9707099101977210,-0.125,-1.9414198203954400,Insensitive
126,Hampshire,,1,1,2/15/2018,Female,18,Not Hispanic or Latino,White,9,1-3 hours,Yes,English,No,67,13,83.75,48,2,96,39,27,12,,,27,5,27,5,32,0.84375,0.15625,1.7357267933679700,-1.735726793367970,0.6875,3.4714535867359500,Sensitive
127,Hampshire,,1,1,4/10/2018,Female,23,Hispanic or Latino,More than one race,10,Not at all only for school,Yes,English,No,66,14,82.5,32,18,64,50,16,34,,,18,14,18,14,32,0.5625,0.4375,-0.1379601552544300,0.13796015525443000,0.125,-0.27592031050886000,Insensitive
128,Hampshire,,1,1,4/21/2018,Male,18,Not Hispanic or Latino,White,10,1-3 hours,Yes,English,No,70,10,87.5,43,7,86,49,17,32,,,31,1,31,1,32,0.96875,0.03125,2.5684765483112600,-2.568476548311270,0.9375,5.136953096622530,Sensitive
129,Hampshire,,1,1,7/17/2018,Female,18,Not Hispanic or Latino,White,10,1-3 hours,Yes,English,No,52,28,65,48,2,96,41,25,16,,,17,15,17,15,32,0.53125,0.46875,-0.34614759399025300,0.34614759399025300,0.0625,-0.6922951879805060,Insensitive
130,Hampshire,OverAge,0,0,7/19/2018,Female,39,Not Hispanic or Latino,White,7,1-3 hours,Yes,English,No,69,11,86.25,49,1,98,49,17,32,,,,,,,,,,,,,,
131,Hampshire,,1,1,7/20/2018,Female,21,Not Hispanic or Latino,White,11,1-3 hours,Yes,English,No,61,19,76.25,31,19,62,36,30,6,,,19,12,19,12,31,0.6129032258064520,0.3870967741935480,0.19782603625496100,-0.1978260362549620,0.22580645161290300,0.3956520725099230,Insensitive
132,Hampshire,OverAge,0,0,7/23/2018,Female,31,Not Hispanic or Latino,Asian,10,1-3 hours,Yes,English,No,66,14,82.5,33,17,66,43,23,20,,,18,14,18,14,32,0.5625,0.4375,-0.1379601552544300,0.13796015525443000,0.125,-0.27592031050886000,Insensitive
133,Hampshire,OverAge,0,0,7/30/2018,Female,48,Not Hispanic or Latino,White,11,6+ hours,Yes,English,No,78,2,97.5,49,1,98,62,4,58,,,,,,,,,,,,,,
134,Hampshire,,1,1,8/1/2018,Female,19,Not Hispanic or Latino,White,11,4-6 hours,Yes,english,No,71,9,88.75,46,4,92,49,17,32,,,18,13,18,13,31,0.5806451612903230,0.41935483870967700,-0.017077126311049200,0.017077126311049200,0.16129032258064500,-0.034154252622098300,Insensitive
135,Hampshire,,1,1,9/17/2018,Female,20,Not Hispanic or Latino,White,11,1-3 hours,Yes,English,No,76,4,95,41,9,82,41,25,16,,,13,19,13,19,32,0.40625,0.59375,-1.1788973489335400,1.1788973489335400,-0.1875,-2.357794697867090,Insensitive
