SubjID,ART,Spelling,Vocabulary,Sex,z_ART,z_Vocabulary,z_Spelling,Dim.1,lang_type_semantic,Dim.2,lang_type_ortho
S201,5,68,37,Female,-0.0976164222384404,0.824972680272098,1.18707637782806,1.0903224043311200,High Semantic,0.585619775093277,High Orthographic
S202,9,65,32,Female,0.878547800145963,0.054769970474496,0.678329358758891,0.9408360190904220,High Semantic,0.30133243093110500,High Orthographic
S203,8,70,42,Female,0.634506744549862,1.5951753900697,1.5262410572075,2.1750339673804400,High Semantic,0.2763443055283640,High Orthographic
S204,10,73,38,Male,1.12258885574206,0.979013222231619,2.03498807627667,2.3903647800763800,High Semantic,0.8858889222134250,High Orthographic
S205,3,62,33,Male,-0.585698533430642,0.208810512434016,0.169582339689723,-0.13535581194913600,Low Semantic,0.1884470201872470,High Orthographic
S206,9,64,42,Female,0.878547800145963,1.5951753900697,0.508747019069168,1.7538557685694100,High Semantic,-0.6320584569825110,Low Orthographic
S207,6,67,21,Female,0.14642463335766,-1.63967599108023,1.01749403813834,-0.30964332690843800,Low Semantic,1.648736876685330,High Orthographic
S208,12,69,44,Male,1.61067096693426,1.90325647398874,1.35665871751778,2.850402283302150,High Semantic,-0.2816534256759640,Low Orthographic
S209,9,59,36,Male,0.878547800145963,0.670932138312578,-0.339164679379446,0.7356183971961410,High Semantic,-0.8594735957844530,Low Orthographic
S210,2,57,30,Female,-0.829739589026743,-0.253311113444545,-0.678329358758891,-1.0284064656693700,Low Semantic,-0.21209389530569900,Low Orthographic
S211,3,62,32,Female,-0.585698533430642,0.054769970474496,0.169582339689723,-0.22612967121285400,Low Semantic,0.2677245077009280,High Orthographic
S212,-3,56,19,Female,-2.04994486700725,-1.94775707499927,-0.847911698448614,-2.8573120614190300,Low Semantic,0.8428758838181870,High Orthographic
S213,1,50,26,Female,-1.07378064462284,-0.869473281282627,-1.86540573658695,-2.201668664969700,Low Semantic,-0.8145893488385740,Low Orthographic
S214,5,57,43,Male,-0.0976164222384404,1.74921593202922,-0.678329358758891,0.5930582851733130,High Semantic,-1.4368212905336700,Low Orthographic
S215,2,55,37,Male,-0.829739589026743,0.824972680272098,-1.01749403813834,-0.5824271371397260,Low Semantic,-1.048268333455080,Low Orthographic
S216,8,60,34,Female,0.634506744549862,0.362851054393537,-0.169582339689723,0.5016546616887810,High Semantic,-0.49559592213024500,Low Orthographic
S217,2,67,34,Male,-0.829739589026743,0.362851054393537,1.01749403813834,0.28187740296742400,High Semantic,0.8769562824076350,High Orthographic
S218,10,63,24,Male,1.12258885574206,-1.17755436520167,0.339164679379446,0.1723423188024150,High Semantic,0.5896136196369020,High Orthographic
S219,8,73,37,Female,0.634506744549862,0.824972680272098,2.03498807627667,2.0053212005364300,High Semantic,1.0945797814271900,High Orthographic
S220,2,62,30,Male,-0.829739589026743,-0.253311113444545,0.169582339689723,-0.5548122498784060,Low Semantic,0.49098616857833,High Orthographic
