SubjID,ART,Spelling,Vocabulary,Sex
S101,7,55,33,Male
S103,15,69,41,Female
S104,8,62,42,Female
S105,12,64,32,Female
S106,9,77,44,Female
S107,6,68,38,Female
S108,11,69,42,Female
S109,11,70,44,Female
S110,9,68,29,Female
S111,8,66,37,Female
S112,5,69,37,Female
S113,20,63,48,Female
S114,5,51,32,Male
S115,6,64,45,Female
S116,10,64,46,Female
S117,-3,63,35,Male
S118,11,67,46,Female
S119,16,61,43,Male
S120,9,55,42,Female
S122,3,61,31,Female
S123,11,68,48,Female
S124,17,64,48,Female
S125,15,71,48,Female
S126,6,,,
S127,17,66,32,Female
S128,16,70,43,Male
S129,8,52,48,Female
S131,3,61,31,Female
S134,16,71,46,Female
S135,8,76,41,Female
S136,10,67,34,Female
S137,14,58,44,Male
S138,12,61,44,Male
S139,14,70,40,Female
S140,10,71,44,Female
S141,8,59,40,Female
S142,11,60,49,Male
S143,6,55,30,Male
S144,13,62,45,Female
S145,5,61,36,Female
S146,8,74,39,Female
S147,7,75,37,Female
S148,,,,Female
S150,9,61,46,Female
S151,6,57,,Female
S152,,62,43,Female
S153,23,74,49,Female
S154,6,76,44,
S155,12,58,41,Female
S156,5,63,34,Male
S157,8,60,37,Female
S158,5,54,33,Female
S159,19,64,47,Female
S160,11,61,40,Female
S161,,,27,Female
S162,,64,,Male
S163,16,58,44,Male
S164,9,58,,Female
S165,7,,33,Male
S167,8,54,33,Female
S168,11,57,41,Female
S169,10,66,44,Female
S170,10,66,42,Female
S171,4,63,48,Female
S172,11,62,40,Male
S173,11,55,46,Female
S174,15,60,42,Female
S175,5,69,41,Male
S176,4,62,45,Female
S177,18,72,47,Male
