subject_nr,counter,cond_trig,word_trig,targ_type,target,correct,response_time,InvRT,LogRT
S201,192,202,19,CW_L,SHAMEFUL,1,613,0.00163132137030995,2.78746047451842
S201,193,201,46,CW_S,STRANGENESS,1,853,0.00117233294255569,2.93094903116752
S201,194,204,19,NW_L_COMP,KINGISM,1,932,0.00107296137339056,2.96941591235398
S201,195,204,11,NW_L_COMP,MOUTHIZE,1,1093,0.000914913083257091,3.0386201619497
S201,196,201,10,CW_S,TOASTER,1,715,0.0013986013986014,2.85430604180108
S201,197,205,20,NW_S_SIMP,YIELDILT,1,937,0.00106723585912487,2.97173959088778
S201,198,208,27,FILL_NW,HEEM,1,691,0.00144717800289436,2.8394780473742
S201,199,206,24,NW_L_SIMP,BLOODEL,1,673,0.00148588410104012,2.82801506422398
S201,200,201,9,CW_S,INSISTENT,0,1221,0.000819000819000819,3.08671566394488
S201,201,206,10,NW_L_SIMP,ELBOWILM,1,728,0.00137362637362637,2.86213137931304
S201,202,201,7,CW_S,WIDOWED,1,917,0.00109051254089422,2.96236933567002
S201,203,205,5,NW_S_SIMP,URNILT,1,744,0.00134408602150538,2.87157293554588
S201,204,208,32,FILL_NW,KEMT,1,867,0.00115340253748558,2.93801909747621
S201,205,201,50,CW_S,RISKY,1,549,0.00182149362477231,2.73957234445009
S201,206,208,17,FILL_NW,DROES,1,730,0.00136986301369863,2.86332286012046
S201,207,208,19,FILL_NW,FALONS,0,938,0.00106609808102345,2.97220283837906
S201,208,201,23,CW_S,TEACHER,1,660,0.00151515151515152,2.81954393554187
S201,209,208,41,FILL_NW,SCURE,1,992,0.00100806451612903,2.99651167215418
S201,210,206,6,NW_L_SIMP,TAXFIL,1,1088,0.000919117647058824,3.03662889536216
S201,211,201,2,CW_S,AVOIDABLE,1,672,0.00148809523809524,2.82736927305383
S201,212,203,13,NW_S_COMP,PILLIZE,1,798,0.0012531328320802,2.90200289135073
S201,213,202,15,CW_L,CLEANER,1,1144,0.000874125874125874,3.05842602445701
S201,214,208,24,FILL_NW,GIKE,1,634,0.00157728706624606,2.80208925788173
S201,215,207,31,FILL_W,FAINT,1,768,0.00130208333333333,2.88536122003151
S201,216,202,41,CW_L,MADNESS,1,1020,0.000980392156862745,3.00860017176192
S201,217,202,36,CW_L,QUIETLY,1,994,0.00100603621730382,2.99738638439731
S201,218,208,14,FILL_NW,DELP,1,727,0.00137551581843191,2.86153441085904
S201,219,206,12,NW_L_SIMP,EARILT,1,828,0.00120772946859903,2.91803033678488
S201,220,201,45,CW_S,RICHNESS,1,759,0.00131752305665349,2.88024177589548
S201,221,201,3,CW_S,NOTICEABLE,1,1000,0.001,3
S201,222,203,3,NW_S_COMP,LIDARY,1,736,0.00135869565217391,2.8668778143375
S201,223,202,25,CW_L,PARKING,0,1222,0.000818330605564648,3.08707120590654
S201,224,208,42,FILL_NW,SMADE,1,883,0.00113250283125708,2.94596070357757
S201,225,202,5,CW_L,SWIMMER,1,834,0.00119904076738609,2.92116605063774
S201,226,202,34,CW_L,BONELESS,0,1222,0.000818330605564648,3.08707120590654
S201,227,205,6,NW_S_SIMP,RAMPIME,1,1030,0.000970873786407767,3.01283722470517
S201,228,205,24,NW_S_SIMP,FEVERIME,1,1103,0.000906618313689937,3.04257551244019
S201,229,208,5,FILL_NW,BUTE,1,893,0.00111982082866741,2.95085145888855
S201,230,201,40,CW_S,ENJOYMENT,1,799,0.00125156445556946,2.90254677931399
S201,231,208,8,FILL_NW,BLAYS,1,760,0.00131578947368421,2.88081359228079
S201,232,205,12,NW_S_SIMP,WARNODY,1,568,0.00176056338028169,2.75434833571102
S201,233,205,11,NW_S_SIMP,DIGODY,1,580,0.00172413793103448,2.76342799356294
S201,234,205,9,NW_S_SIMP,NEXTNELS,1,587,0.00170357751277683,2.76863810124761
S201,235,208,31,FILL_NW,JADS,1,537,0.00186219739292365,2.72997428569956
S201,236,207,11,FILL_W,CHIP,0,553,0.00180831826401447,2.7427251313047
S201,237,208,20,FILL_NW,TREMP,1,786,0.00127226463104326,2.89542254603941
S201,238,203,11,NW_S_COMP,CURTITY,1,789,0.00126742712294043,2.89707700320942
S201,239,207,48,FILL_W,TREAT,1,609,0.00164203612479475,2.78461729263288
S201,240,207,29,FILL_W,BAKE,1,625,0.0016,2.79588001734408
S201,241,207,35,FILL_W,LEGAL,1,524,0.00190839694656489,2.71933128698373
S201,242,202,6,CW_L,COMPOSER,1,679,0.00147275405007364,2.8318697742805
S201,243,206,21,NW_L_SIMP,DRESSODY,1,890,0.00112359550561798,2.94939000664491
S201,244,205,23,NW_S_SIMP,NULLITH,1,803,0.0012453300124533,2.90471554527868
