SubjID,nw_target,nw_response_time,nw_famsize,simp_comp,nw_LogBf
S103,medicalary,706,S,SIMP,7.19
S103,sheetel,660,L,COMP,6.92
S103,jawly,989,S,SIMP,6.03
S103,employnels,709,L,COMP,8.44
S103,ime,688,L,COMP,7.84
S103,witchish,989,L,SIMP,6.79
S103,aidic,995,S,SIMP,7.06
S103,agreela,879,L,COMP,8.46
S103,princemant,994,S,COMP,6.81
S103,fanfil,793,S,COMP,6.16
S103,beerel,995,S,COMP,6.75
S103,aridilm,845,S,COMP,4.61
S103,freenels,869,L,COMP,8.89
S103,dumbidy,977,S,COMP,5.5
S103,pitchody,746,L,COMP,6.41
S103,tripady,881,L,COMP,7.23
S103,towerly,994,L,SIMP,7.07
S103,antilm,952,S,COMP,5.33
S103,blooder,961,L,SIMP,8.29
S103,shootment,981,L,SIMP,7.51
S103,valider,992,L,SIMP,6.43
S103,thrillance,709,S,SIMP,5.73
S103,warnory,909,S,SIMP,7.44
S103,winkity,860,S,SIMP,5.38
S103,schemeness,843,S,SIMP,7.39
S103,taxful,995,L,SIMP,7.92
S103,nullish,994,S,SIMP,3.81
S103,passmant,717,L,COMP,9.21
S103,meltange,862,S,COMP,6.06
S103,poority,798,L,SIMP,8.38
S103,begence,787,L,SIMP,6.4
S103,gasfil,718,L,COMP,7.31
S103,habitic,794,L,SIMP,7.63
S103,weldig,919,S,COMP,4.86
S103,truenels,761,S,COMP,NA
S103,flipody,735,L,COMP,5.21
S103,inkilm,993,L,COMP,5.67
S103,socketer,688,S,SIMP,4.96
S103,humidoes,699,S,COMP,4.52
S103,classous,613,L,SIMP,8.73
S104,figer,770,S,COMP,5.28
S104,mouthize,907,L,COMP,7.96
S104,northize,990,L,COMP,7.84
S104,breakity,888,L,COMP,8.76
S104,agreely,625,L,COMP,8.46
S104,sheeter,991,L,COMP,6.92
S104,pickenge,846,L,SIMP,8.13
S104,nutla,879,L,SIMP,6.85
S104,urnilt,827,S,SIMP,4.22
S104,growilt,807,L,SIMP,9.05
S104,employness,599,L,COMP,8.44
S104,rampime,878,S,SIMP,4.55
S104,pitchory,762,L,COMP,6.41
S104,stirance,893,L,COMP,6.73
S104,digody,733,S,SIMP,6.66
S104,meltance,993,S,COMP,6.06
S104,bogady,727,L,SIMP,5.56
S104,mudly,793,L,COMP,6.82
S104,medicalady,947,S,SIMP,7.19
S104,altaric,990,S,COMP,6
S104,curtity,990,S,COMP,4.48
S104,beerer,986,S,COMP,6.75
S104,fellowous,4714,L,COMP,7.19
S104,weldic,859,S,COMP,4.86
S104,passment,890,L,COMP,9.21
S104,humidous,663,S,COMP,4.52
S104,tiltady,990,S,SIMP,5.79
S104,socketel,893,S,SIMP,4.96
S104,gasful,653,L,COMP,7.31
S104,helmetoes,747,S,SIMP,5.49
S104,flitence,816,L,COMP,6.4
S104,pillize,691,S,COMP,6.29
S104,zoomfil,676,S,SIMP,3.53
S104,tripary,969,L,COMP,7.23
S104,beanith,796,L,SIMP,6.05
S104,nextnels,727,S,SIMP,8.91
S104,bindic,846,L,COMP,6.11
S104,elbowilm,992,L,SIMP,7.47
S104,ripence,949,L,COMP,6.15
S104,prayange,814,L,SIMP,6.96
S104,ejectence,600,S,COMP,4.19
S104,freeness,955,L,COMP,8.89
S104,illist,995,L,COMP,7.77
S104,bandady,995,L,SIMP,6.89
S104,towerla,803,L,SIMP,7.07
S104,nullith,876,S,SIMP,3.81
S104,shootmant,837,L,SIMP,7.51
S104,feverime,900,S,SIMP,6.39
S104,dressody,827,L,SIMP,8.26
S104,habitig,802,L,SIMP,7.63
S104,trueness,584,S,COMP,NA
S104,validel,644,L,SIMP,6.43
S104,happenance,592,S,COMP,8.85
S104,smoothfil,775,L,SIMP,6.95
S104,heirig,660,S,SIMP,5.35
S104,aridism,695,S,COMP,4.61
S104,yieldilt,655,S,SIMP,6.42
S104,pooridy,632,L,SIMP,8.38
S104,treasonize,899,S,COMP,4.93
S104,angelish,833,L,COMP,6.48
S104,bearilt,669,L,SIMP,7.87
S104,lidary,912,S,COMP,6.26
S104,witchith,646,L,SIMP,6.79
S104,inkism,858,L,COMP,5.67
S104,advertisela,769,S,SIMP,1.56
S104,elmist,618,S,COMP,5.16
S104,taxfil,833,L,SIMP,7.92
S104,schemenels,694,S,SIMP,7.39
S104,begenge,38621,L,SIMP,6.4
S104,criticange,644,L,SIMP,7.91
S104,adoptish,965,S,COMP,7.09
S104,thrillange,868,S,SIMP,5.73
S104,dumbity,518,S,COMP,5.5
S104,heightence,639,S,COMP,6.82
S104,coldity,796,L,COMP,8.18
S104,yankory,712,S,COMP,3.93
S104,princement,810,S,COMP,6.81
S104,classoes,688,L,SIMP,8.73
S104,flipory,754,L,COMP,5.21
S104,winkidy,876,S,SIMP,5.38
S104,warnody,592,S,SIMP,7.44
S104,bloodel,472,L,SIMP,8.29
S104,boltoes,627,S,SIMP,5.85
S104,baskody,706,S,SIMP,4.22
S104,jawla,572,S,SIMP,6.03
S104,longnels,597,L,SIMP,9.86
S104,fanful,754,S,COMP,6.16
S104,addment,722,L,COMP,8.68
S104,brancher,966,S,COMP,7.43
S104,wigith,731,L,SIMP,5.57
S104,antism,993,S,COMP,5.33
S104,debtish,723,S,COMP,6.49
S104,kingism,455,L,COMP,7.73
S104,aidig,621,S,SIMP,7.06
S104,acremant,637,S,SIMP,6.56
S104,earilt,642,L,SIMP,2.77
S104,boilous,805,L,COMP,7
S104,gumfil,691,S,SIMP,4.04
S104,opposemant,899,S,SIMP,6.9
S104,fiendism,809,S,COMP,3.97
S105,rampize,532,S,SIMP,4.55
S105,blooder,425,L,SIMP,8.29
S105,heiric,996,S,SIMP,5.35
S105,fellowoes,680,L,COMP,7.19
S105,nullish,651,S,SIMP,3.81
S105,beanish,292,L,SIMP,6.05
S105,warnory,793,S,SIMP,7.44
S105,flipody,637,L,COMP,5.21
S105,beerel,528,S,COMP,6.75
S105,flitenge,566,L,COMP,6.4
S105,yankody,614,S,COMP,3.93
S105,longness,338,L,SIMP,9.86
S105,boltous,649,S,SIMP,5.85
S105,earist,994,L,SIMP,2.77
S105,sheetel,701,L,COMP,6.92
S105,shootment,724,L,SIMP,7.51
S105,treasonime,645,S,COMP,4.93
S105,branchel,879,S,COMP,7.43
S105,acrement,659,S,SIMP,6.56
S105,feverize,652,S,SIMP,6.39
S105,wigish,925,L,SIMP,5.57
S105,bindig,619,L,COMP,6.11
S105,smoothful,857,L,SIMP,6.95
S105,mouthime,913,L,COMP,7.96
S105,witchish,781,L,SIMP,6.79
S105,kingilm,575,L,COMP,7.73
S105,aidic,716,S,SIMP,7.06
S105,yieldist,641,S,SIMP,6.42
S105,aridilm,654,S,COMP,4.61
