SubjID,response_time,correct,targ_type,cond_trig,word_trig,target,experiment_file,ART_correct,vocab_correct,spell_correct,z_ART,z_vocab,z_spell,Dim.1,Dim.2,lang_type,word,Base,affix,Source,FS,BF,LogBF,FS_Split,BaseLength,WholeFormLength,famsize
S101,472,1,CW_S,201,26,TOSSING,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,tossing,toss,ing,RastleFiller,5,407,6.01,S,4,7,Small
S101,702,1,CW_S,201,27,TUTORING,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,tutoring,tutor,ing,RastleFiller,5,499,6.212606096,S,5,8,Small
S101,818,1,CW_S,201,28,PEAKING,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,peaking,peak,ing,RastleFiller,6,546,6.3,S,4,7,Small
S101,520,1,CW_S,201,29,HARMLESS,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,harmless,harm,less,FORD,7,1101,7,S,4,8,Small
S101,534,1,CW_S,201,30,EFFORTLESS,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,effortless,effort,less,FORD,4,2456,7.81,S,6,10,Small
S101,551,1,CW_S,201,31,GRIMLY,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,grimly,grim,ly,FORD,6,552,6.31,S,4,6,Small
S101,713,1,CW_S,201,32,DENSELY,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,densely,dense,ly,FORD,7,655,6.48,S,5,7,Small
S101,704,1,CW_S,201,33,NEATLY,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,neatly,neat,ly,FORD,3,924,6.83,S,4,6,Small
S101,691,1,CW_S,201,34,GUILTY,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,guilty,guilt,ly,RastleFiller,7,1576,7.36,S,5,6,Small
S101,987,1,CW_S,201,35,HUGELY,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,hugely,huge,ly,FORD,3,1918,7.56,S,4,6,Small
S101,613,1,CW_S,201,36,COSTLY,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,costly,cost,ly,FORD,6,4215,8.35,S,4,6,Small
S101,494,1,CW_S,201,37,LOCALLY,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,locally,local,ly,FORD,7,4485,8.41,S,5,7,Small
S101,544,1,CW_S,201,38,AMUSEMENT,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,amusement,amuse,ment,FORD,3,857,6.75,S,5,9,Small
S101,547,1,CW_S,201,39,AMAZEMENT,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,amazement,amaze,ment,FORD,4,878,6.78,S,5,9,Small
S101,465,1,CW_S,201,40,ENJOYMENT,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,enjoyment,enjoy,ment,FORD,4,2771,7.93,S,5,9,Small
S101,538,1,CW_S,201,41,BOLDNESS,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,boldness,bold,ness,RastleFiller,7,379,5.94,S,4,8,Small
S101,997,0,CW_S,201,42,MILDNESS,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,mildness,mild,ness,FORD,4,676,6.52,S,4,8,Small
S101,638,1,CW_S,201,43,DULLNESS,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,dullness,dull,ness,XuTaft,5,703,6.56,S,4,8,Small
S101,540,1,CW_S,201,44,AWARENESS,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,awareness,aware,ness,FORD,4,2391,7.78,S,5,9,Small
S101,657,1,CW_S,201,45,RICHNESS,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,richness,rich,ness,FORD,7,2868,7.96,S,4,8,Small
S101,438,1,CW_S,201,46,STRANGENESS,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,strangeness,strange,ness,FORD,4,2912,7.98,S,7,11,Small
S101,645,0,CW_S,201,47,MOSSY,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,mossy,moss,y,Graves,3,149,5,S,4,5,Small
S101,337,1,CW_S,201,48,CHILLY,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,chilly,chill,y,RastleFiller,7,488,6.19,S,5,6,Small
S101,622,1,CW_S,201,49,BOSSY,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,bossy,boss,y,Graves,6,551,6.31,S,4,5,Small
S101,524,1,CW_S,201,50,RISKY,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,risky,risk,y,RastleFiller,5,1827,7.51,S,4,5,Small
S101,656,1,CW_L,202,1,PUNCHER,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,puncher,punch,er,RastleFiller,17,325,5.78,L,5,7,Large
S101,996,0,CW_L,202,2,BARKER,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,barker,bark,er,Graves,8,387,5.96,L,4,6,Large
S101,586,1,CW_L,202,3,SPELLER,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,speller,spell,er,RastleFiller,10,781,6.66,L,5,7,Large
S101,454,1,CW_L,202,4,KNOCKER,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,knocker,knock,er,RastleFiller,15,1104,7.01,L,5,7,Large
S101,663,1,CW_L,202,5,SWIMMER,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,swimmer,swim,er,FORD,11,1145,7.04,L,4,7,Large
S101,471,1,CW_L,202,6,COMPOSER,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,composer,compose,er,FORD,13,1187,7.08,L,7,8,Large
S101,457,1,CW_L,202,7,BOMBER,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,bomber,bomb,er,Rastle,24,1208,7.1,L,4,6,Large
S101,435,1,CW_L,202,8,LOCKER,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,locker,lock,er,RastleFiller,18,1654,7.41,L,4,6,Large
S101,536,1,CW_L,202,9,RENTER,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,renter,rent,er,RastleFiller,13,1690,7.43,L,4,6,Large
S101,888,1,CW_L,202,10,HUNTER,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,hunter,hunt,er,FORD,18,1762,7.47,L,4,6,Large
S101,993,0,CW_L,202,11,DANCER,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,dancer,dance,er,FORD,16,2003,7.6,L,5,6,Large
S101,852,1,CW_L,202,12,DREAMER,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,dreamer,dream,er,Rastle,19,2325,7.75,L,5,7,Large
S101,402,1,CW_L,202,13,PUSHER,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,pusher,push,er,RastleFiller,17,2507,7.83,L,4,6,Large
S101,533,1,CW_L,202,14,FEEDER,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,feeder,feed,er,FORD,11,2806,7.94,L,4,6,Large
S101,664,1,CW_L,202,15,CLEANER,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,cleaner,clean,er,XuTaft,29,2854,7.96,L,5,7,Large
S101,543,1,CW_L,202,16,HEATER,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,heater,heat,er,FORD,15,2881,7.97,L,4,6,Large
S101,588,1,CW_L,202,17,STRIKER,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,striker,strike,er,Graves,17,3414,8.14,L,6,7,Large
S101,459,1,CW_L,202,18,PAINTER,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,painter,paint,er,RastleFiller,17,3666,8.21,L,5,7,Large
