Condition,base,word,cond_trig,word_trig,ItemID,affix,Source,FS,BF,LogBF,Complexity,FS_Split,BF_Split,BaseLength,WholeFormLength,Sublist,List
NW_S_COMP,yank,yankory,203,23,323,ory,RastleFiller,2,51,3.93,Complex,Small,Low,4.00,7.00,1,AB
NW_S_COMP,fiend,fiendism,203,24,324,ism,XuTaft,4,53,3.97,Complex,Small,Low,5.00,8.00,1,AB
NW_S_COMP,humid,humidous,203,25,325,ous,XuTaft,4,92,4.52,Complex,Small,Low,5.00,8.00,1,AB
NW_L_COMP,flit,flitence,204,3,43,ence,Crepaldi,11,599,6.40,Complex,Large,Low,4.00,8.00,1,AB
NW_L_COMP,rip,ripence,204,4,44,ence,Crepaldi,8,471,6.15,Complex,Large,Low,3.00,7.00,1,AB
NW_L_COMP,angel,angelish,204,7,47,ish,Crepaldi,17,652,6.48,Complex,Large,Low,5.00,8.00,1,AB
NW_L_COMP,ink,inkism,204,8,48,ish,Crepaldi,12,290,5.67,Complex,Large,Low,3.00,6.00,1,AB
NW_L_COMP,flip,flipory,204,16,416,ory,Crepaldi,10,184,5.21,Complex,Large,Low,4.00,7.00,1,AB
NW_L_COMP,bind,bindic,204,22,422,ic,RastleFiller,14,451,6.11,Complex,Large,Low,4.00,6.00,1,AB
NW_L_COMP,pitch,pitchory,204,25,425,ory,RastleFiller,10,610,6.41,Complex,Large,Low,5.00,8.00,1,AB
NW_S_SIMP,aid,aidig,205,4,54,ic,Crepaldi,4,1159,7.06,Simple,Small,High,3.00,5.00,2,AB
NW_S_SIMP,oppose,opposemant,205,8,58,ment,Crepaldi,1,994,6.90,Simple,Small,High,6.00,10.00,2,AB
NW_S_SIMP,next,nextnels,205,9,59,ness,Crepaldi,4,7415,8.91,Simple,Small,High,4.00,8.00,2,AB
NW_S_SIMP,dig,digody,205,11,511,ory,Crepaldi,3,777,6.66,Simple,Small,High,3.00,6.00,2,AB
NW_S_SIMP,warn,warnody,205,12,512,ory,Crepaldi,5,1697,7.44,Simple,Small,High,4.00,7.00,2,AB
NW_S_SIMP,scheme,schemenels,205,15,515,ness,Graves,3,1619,7.39,Simple,Small,High,6.00,10.00,2,AB
NW_S_SIMP,acre,acremant,205,16,516,ment,Rastle,3,708,6.56,Simple,Small,High,4.00,8.00,2,AB
NW_S_SIMP,medical,medicalady,205,18,518,ary,RastleFiller,3,1323,7.19,Simple,Small,High,7.00,10.00,2,AB
NW_L_SIMP,pray,prayange,206,1,61,ance,Crepaldi,9,1055,6.96,Simple,Large,High,4.00,8.00,2,AB
NW_L_SIMP,band,bandady,206,3,63,ary,Crepaldi,26,981,6.89,Simple,Large,High,4.00,7.00,2,AB
NW_L_SIMP,pick,pickenge,206,5,65,ence,Crepaldi,20,3385,8.13,Simple,Large,High,4.00,8.00,2,AB
NW_L_SIMP,tax,taxfil,206,6,66,ful,Crepaldi,14,2763,7.92,Simple,Large,High,3.00,6.00,2,AB
NW_L_SIMP,habit,habitig,206,7,67,ic,Crepaldi,16,2066,7.63,Simple,Large,High,5.00,7.00,2,AB
NW_L_SIMP,elbow,elbowilm,206,10,610,ish,Crepaldi,18,1756,7.47,Simple,Large,High,5.00,8.00,2,AB
NW_L_SIMP,witch,witchith,206,11,611,ish,Crepaldi,11,890,6.79,Simple,Large,High,5.00,8.00,2,AB
NW_L_SIMP,poor,pooridy,206,13,613,ity,Crepaldi,11,4350,8.38,Simple,Large,High,4.00,7.00,2,AB
NW_L_SIMP,nut,nutla,206,14,614,ly,Crepaldi,31,946,6.85,Simple,Large,High,3.00,5.00,2,AB
NW_L_SIMP,tower,towerla,206,15,615,ly,Crepaldi,9,1180,7.07,Simple,Large,High,5.00,7.00,2,AB
