Derived,Base,affix,Source,FinalCut,FamilySize,BaseFreq,LogBF,SF,LogSF,BaseLength,SurfaceLeng,BG_Mean,BG_Freq_By_Pos,,,"FS, BF","FS, SF","BF, SF",,
KNOCKER,KNOCK,ER,RastleFiller,L,15,1104,7.01,24,3.18,5,7,1592.5,1714,,,,,,,
SWIMMER,SWIM,ER,FORD,L,11,1145,7.04,40,3.69,4,7,1639.17,1580,,,,,,,
COMPOSER,COMPOSE,ER,FORD,L,13,1187,7.08,112,4.72,7,8,2097.29,3803,,,,,,,
BOMBER,BOMB,ER,Rastle,L,24,1208,7.10,50,3.91,4,6,1886.2,2546,,,,,,,
LOCKER,LOCK,ER,RastleFiller,L,18,1654,7.41,89,4.49,4,6,2024,2504,,,,,,,
RENTER,RENT,ER,RastleFiller,L,13,1690,7.43,2,0.69,4,6,,,,,,,,,
HUNTER,HUNT,ER,FORD,L,18,1762,7.47,199,5.29,4,6,3144.2,2865,,,,,,,
DANCER,DANCE,ER,FORD,L,16,2003,7.60,108,4.68,5,6,2641.8,2757,,,,,,,
DREAMER,DREAM,ER,Rastle,L,19,2325,7.75,27,3.30,5,7,2600.17,2592,,,,,,,
PUSHER,PUSH,ER,RastleFiller,L,17,2507,7.83,8,2.08,4,6,,,,,,,,,
FEEDER,FEED,ER,FORD,L,11,2806,7.94,19,2.94,4,6,2937.8,2250,,,,,,,
CLEANER,CLEAN,ER,XuTaft,L,29,2854,7.96,165,5.11,5,7,2955,2519,,,,,,,
HEATER,HEAT,ER,FORD,L,15,2881,7.97,48,3.87,4,6,3660.4,3404,,,,,,,
STRIKER,STRIKE,ER,Graves,L,17,3414,8.14,8,2.08,6,7,2546.17,2458,,,,,,,
PAINTER,PAINT,ER,RastleFiller,L,17,3666,8.21,325,5.78,5,7,3747.83,3120,,,,,,,
SHAMEFUL,SHAME,FUL,FORD,L,13,993,6.90,94,4.54,5,8,1002.43,1491,,,,,,,
FAITHFUL,FAITH,FUL,FORD,L,12,1320,7.19,229,5.43,5,8,902,1314,,,,,,,
DOUBTFUL,DOUBT,FUL,FORD,L,8,4135,8.33,241,5.48,5,8,600.43,1030,,,,,,,
FLEXIBLE,FLEX,IBLE,RastleFiller,L,16,664,6.50,215,5.37,4,8,1375.43,1061,,,,,,,
