SubjID,response_time,correct,targ_type,cond_trig,word_trig,target,experiment_file,ART_correct,vocab_correct,spell_correct,z_ART,z_vocab,z_spell,Dim.1,Dim.2,lang_type,word,base,complexity,affix,Source,FS,BF,LogBF,FS_Split,BF_Split,BaseLength,WholeFormLength,Sublist,famsize
S101,812,1,NW_S_COMP,203,23,YANKORY,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,yankory,yank,Complex,ory,RastleFiller,2,51,3.93,S,S,4,7,1,Small
S101,953,0,NW_S_COMP,203,24,FIENDISM,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,fiendism,fiend,Complex,ism,XuTaft,4,53,3.97,S,S,5,8,1,Small
S101,613,1,NW_S_COMP,203,25,HUMIDOUS,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,humidous,humid,Complex,ous,XuTaft,4,92,4.52,S,S,5,8,1,Small
S101,988,0,NW_L_COMP,204,1,STIRANCE,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,stirance,stir,Complex,ance,Crepaldi,12,841,6.73,L,L,4,8,1,Large
S101,960,0,NW_L_COMP,204,2,TRIPARY,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,tripary,trip,Complex,ary,Crepaldi,9,1382,7.23,L,L,4,7,1,Large
S101,992,0,NW_L_COMP,204,3,FLITENCE,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,flitence,flit,Complex,ence,Crepaldi,11,599,6.4,L,S,4,8,1,Large
S101,706,0,NW_L_COMP,204,4,RIPENCE,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,ripence,rip,Complex,ence,Crepaldi,8,471,6.15,L,S,3,7,1,Large
S101,654,1,NW_L_COMP,204,5,SHEETER,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,sheeter,sheet,Complex,er,Crepaldi,14,1009,6.92,L,L,5,7,1,Large
S101,562,0,NW_L_COMP,204,6,GASFUL,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,gasful,gas,Complex,ful,Crepaldi,33,1501,7.31,L,L,3,6,1,Large
S101,737,0,NW_L_COMP,204,7,ANGELISH,AB_m21,40,33,55,-0.5961368875623466,-1.3467590709784192,-1.471633297074188,-2.0089118765470073,-0.0890086556868345,Orthographic,angelish,angel,Complex,ish,Crepaldi,17,652,6.48,L,S,5,8,1,Large
