SubjID,z_vcb,z_spl,z_art,Dim.1,Dim.2,correct,response_time,trial_type,target,word_trig,cond_trig,Base,affix,FS,BF,LogFS,LogBF,BaseLength,WholeFormLength,List
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,544,CW,singer,17,201,sing,er,4,2186,1.3862943611198906,7.69,4,6,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,810,CW,cooling,24,202,cool,ing,14,1434,2.6390573296152584,7.27,4,7,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,925,CW,madness,41,202,mad,ness,10,1298,2.302585092994046,7.17,3,7,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,536,CW,renter,9,202,rent,er,13,1690,2.5649493574615367,7.43,4,6,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,525,CW,parking,25,202,park,ing,9,1945,2.1972245773362196,7.57,4,7,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,779,CW,design,19,201,designer,er,7,3296,1.9459101490553132,8.1,8,6,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,683,CW,campaigner,15,201,campaign,er,3,2003,1.0986122886681098,7.6,8,10,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,598,CW,jailer,13,201,jail,er,5,678,1.6094379124341003,6.52,4,6,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,481,CW,faithful,20,202,faith,ful,12,1320,2.4849066497880004,7.19,5,8,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,527,CW,doubtful,21,202,doubt,ful,8,4135,2.0794415416798357,8.33,5,8,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,672,CW,widowed,7,201,widow,ed,5,499,1.6094379124341003,6.21,5,7,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,556,CW,dietary,6,201,diet,ary,6,1181,1.791759469228055,7.07,4,7,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,664,CW,cleaner,15,202,clean,er,29,2854,3.367295829986474,7.96,5,7,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,556,CW,conductor,44,202,conduct,or,16,1084,2.772588722239781,6.99,7,9,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,598,CW,deafness,39,202,deaf,ness,9,290,2.1972245773362196,5.67,4,8,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,586,CW,speller,3,202,spell,er,10,781,2.302585092994046,6.66,5,7,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,613,CW,costly,36,201,cost,ly,6,4215,1.791759469228055,8.35,4,6,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,619,CW,seeker,16,201,seek,er,7,2155,1.9459101490553132,7.68,4,6,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,547,CW,amazement,39,201,amaze,ment,4,878,1.3862943611198906,6.78,5,9,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,548,CW,toaster,10,201,toast,er,6,339,1.791759469228055,5.83,5,7,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,459,CW,painter,18,202,paint,er,17,3666,2.833213344056216,8.21,5,7,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,562,CW,excitement,38,202,excite,ment,9,1924,2.1972245773362196,7.56,6,10,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,472,CW,tossing,26,201,toss,ing,5,407,1.6094379124341003,6.01,4,7,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,782,CW,detectable,1,201,detect,able,7,982,1.9459101490553132,6.89,6,10,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,549,CW,laughing,27,202,laugh,ing,18,4181,2.8903717578961645,8.34,5,8,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,551,CW,grimly,31,201,grim,ly,6,552,1.791759469228055,6.31,4,6,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,619,CW,shapely,35,202,shape,ly,12,1909,2.4849066497880004,7.55,5,7,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,544,CW,amusement,38,201,amuse,ment,3,857,1.0986122886681098,6.75,5,9,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,562,CW,creamy,49,202,cream,y,10,792,2.302585092994046,6.67,5,6,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,587,CW,verbal,50,202,verb,al,22,423,3.091042453358316,6.05,4,6,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,337,CW,chilly,48,201,chill,y,7,488,1.9459101490553132,6.19,5,6,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,588,CW,striker,17,202,strike,er,17,3414,2.833213344056216,8.14,6,7,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,490,CW,attacker,20,201,attack,er,6,3385,1.791759469228055,8.13,6,8,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,534,CW,effortless,30,201,effort,less,4,2456,1.3862943611198906,7.81,6,10,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,494,CW,locally,37,201,local,ly,7,4485,1.9459101490553132,8.41,5,7,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,558,CW,boneless,34,202,bone,less,35,1490,3.5553480614894135,7.31,4,8,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,471,CW,composer,6,202,compose,er,13,1187,2.5649493574615367,7.08,7,8,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,605,CW,blindness,40,202,blind,ness,16,1024,2.772588722239781,6.93,5,9,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,435,CW,destroyer,14,201,destroy,er,3,1906,1.0986122886681098,7.55,7,9,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,438,CW,strangeness,46,201,strange,ness,4,2912,1.3862943611198906,7.98,7,11,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,402,CW,pusher,13,202,push,er,17,2507,2.833213344056216,7.83,4,6,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,456,CW,thruster,24,201,thrust,er,4,584,1.3862943611198906,6.37,6,8,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,471,CW,listener,18,201,listen,er,4,3081,1.3862943611198906,8.03,6,8,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,520,CW,harmless,29,201,harm,less,7,1101,1.9459101490553132,7,4,8,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,445,CW,buyer,21,201,buy,er,3,4386,1.0986122886681098,8.39,3,5,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,524,CW,risky,50,201,risk,y,5,1827,1.6094379124341003,7.51,4,5,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,546,CW,avoidable,2,201,avoid,able,5,2172,1.6094379124341003,7.68,5,9,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,702,CW,tutoring,27,201,tutor,ing,5,499,1.6094379124341003,6.21,5,8,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,543,CW,heater,16,202,heat,er,15,2881,2.70805020110221,7.97,4,6,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,888,CW,hunter,10,202,hunt,er,18,1762,2.8903717578961645,7.47,4,6,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,604,CW,flexible,22,202,flex,ible,16,664,2.772588722239781,6.5,4,8,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,609,CW,cloudless,33,202,cloud,less,14,1181,2.6390573296152584,7.07,5,9,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,870,CW,noticeable,3,201,notice,able,6,3426,1.791759469228055,8.14,6,10,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,620,CW,jumping,30,202,jump,jumping,15,1395,2.70805020110221,7.24,4,7,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,691,CW,guilty,34,201,guilt,ly,7,1576,1.9459101490553132,7.36,5,6,AB
S101,-1.4018872914385454,-1.5086391054824275,-0.6399333407607103,-2.015120263591839,-0.6253309311087007,1,818,CW,peaking,28,201,peak,ing,6,546,1.791759469228055,6.3,4,7,AB
