SubjID,value,chindex,chlabel,bini,base_frequency,List,time_window,z_vcb,z_spl,z_art,Dim.1,Dim.2
S113,4.909,10,CP1,17,High,BA,N400,1.2170230332268686,-0.24016974940446695,1.852141871717122,1.7845563861983516,-1.2964590206452358
S113,5.641,11,Pz,17,High,BA,N400,1.2170230332268686,-0.24016974940446695,1.852141871717122,1.7845563861983516,-1.2964590206452358
S113,2.967,12,P3,17,High,BA,N400,1.2170230332268686,-0.24016974940446695,1.852141871717122,1.7845563861983516,-1.2964590206452358
S113,-4.492,13,P7,17,High,BA,N400,1.2170230332268686,-0.24016974940446695,1.852141871717122,1.7845563861983516,-1.2964590206452358
S113,-2.849,14,O1,17,High,BA,N400,1.2170230332268686,-0.24016974940446695,1.852141871717122,1.7845563861983516,-1.2964590206452358
S113,-2.117,15,O2,17,High,BA,N400,1.2170230332268686,-0.24016974940446695,1.852141871717122,1.7845563861983516,-1.2964590206452358
S113,1.276,16,P4,17,High,BA,N400,1.2170230332268686,-0.24016974940446695,1.852141871717122,1.7845563861983516,-1.2964590206452358
S113,-6.417,17,P8,17,High,BA,N400,1.2170230332268686,-0.24016974940446695,1.852141871717122,1.7845563861983516,-1.2964590206452358
S113,-2.428,18,CP6,17,High,BA,N400,1.2170230332268686,-0.24016974940446695,1.852141871717122,1.7845563861983516,-1.2964590206452358
S113,2.644,19,CP2,17,High,BA,N400,1.2170230332268686,-0.24016974940446695,1.852141871717122,1.7845563861983516,-1.2964590206452358
S113,3.019,20,CZ,17,High,BA,N400,1.2170230332268686,-0.24016974940446695,1.852141871717122,1.7845563861983516,-1.2964590206452358
S113,-0.393,21,C4,17,High,BA,N400,1.2170230332268686,-0.24016974940446695,1.852141871717122,1.7845563861983516,-1.2964590206452358
S113,-0.491,22,T8,17,High,BA,N400,1.2170230332268686,-0.24016974940446695,1.852141871717122,1.7845563861983516,-1.2964590206452358
S113,-1.05,23,FC6,17,High,BA,N400,1.2170230332268686,-0.24016974940446695,1.852141871717122,1.7845563861983516,-1.2964590206452358
S113,2.247,24,FC2,17,High,BA,N400,1.2170230332268686,-0.24016974940446695,1.852141871717122,1.7845563861983516,-1.2964590206452358
S113,3.257,25,F4,17,High,BA,N400,1.2170230332268686,-0.24016974940446695,1.852141871717122,1.7845563861983516,-1.2964590206452358
S113,0.851,26,F8,17,High,BA,N400,1.2170230332268686,-0.24016974940446695,1.852141871717122,1.7845563861983516,-1.2964590206452358
S113,4.465,27,FP2,17,High,BA,N400,1.2170230332268686,-0.24016974940446695,1.852141871717122,1.7845563861983516,-1.2964590206452358
S113,2.395,1,FP1,18,Low,BA,N400,1.2170230332268686,-0.24016974940446695,1.852141871717122,1.7845563861983516,-1.2964590206452358
S113,1.614,2,Fz,18,Low,BA,N400,1.2170230332268686,-0.24016974940446695,1.852141871717122,1.7845563861983516,-1.2964590206452358
S113,2.489,3,F3,18,Low,BA,N400,1.2170230332268686,-0.24016974940446695,1.852141871717122,1.7845563861983516,-1.2964590206452358
S113,0.722,4,F7,18,Low,BA,N400,1.2170230332268686,-0.24016974940446695,1.852141871717122,1.7845563861983516,-1.2964590206452358
S113,1.097,5,FC5,18,Low,BA,N400,1.2170230332268686,-0.24016974940446695,1.852141871717122,1.7845563861983516,-1.2964590206452358
S113,1.371,6,FC1,18,Low,BA,N400,1.2170230332268686,-0.24016974940446695,1.852141871717122,1.7845563861983516,-1.2964590206452358
S113,0.884,7,C3,18,Low,BA,N400,1.2170230332268686,-0.24016974940446695,1.852141871717122,1.7845563861983516,-1.2964590206452358
S113,-0.876,8,T7,18,Low,BA,N400,1.2170230332268686,-0.24016974940446695,1.852141871717122,1.7845563861983516,-1.2964590206452358
S113,-0.766,9,CP5,18,Low,BA,N400,1.2170230332268686,-0.24016974940446695,1.852141871717122,1.7845563861983516,-1.2964590206452358
S113,3.91,10,CP1,18,Low,BA,N400,1.2170230332268686,-0.24016974940446695,1.852141871717122,1.7845563861983516,-1.2964590206452358
S113,2.35,11,Pz,18,Low,BA,N400,1.2170230332268686,-0.24016974940446695,1.852141871717122,1.7845563861983516,-1.2964590206452358
S113,2.436,12,P3,18,Low,BA,N400,1.2170230332268686,-0.24016974940446695,1.852141871717122,1.7845563861983516,-1.2964590206452358
S113,-5.433,13,P7,18,Low,BA,N400,1.2170230332268686,-0.24016974940446695,1.852141871717122,1.7845563861983516,-1.2964590206452358
S113,-1.887,14,O1,18,Low,BA,N400,1.2170230332268686,-0.24016974940446695,1.852141871717122,1.7845563861983516,-1.2964590206452358
S113,-2.132,15,O2,18,Low,BA,N400,1.2170230332268686,-0.24016974940446695,1.852141871717122,1.7845563861983516,-1.2964590206452358
S113,-0.177,16,P4,18,Low,BA,N400,1.2170230332268686,-0.24016974940446695,1.852141871717122,1.7845563861983516,-1.2964590206452358
S113,-3.646,17,P8,18,Low,BA,N400,1.2170230332268686,-0.24016974940446695,1.852141871717122,1.7845563861983516,-1.2964590206452358
S113,-2.153,18,CP6,18,Low,BA,N400,1.2170230332268686,-0.24016974940446695,1.852141871717122,1.7845563861983516,-1.2964590206452358
S113,1.784,19,CP2,18,Low,BA,N400,1.2170230332268686,-0.24016974940446695,1.852141871717122,1.7845563861983516,-1.2964590206452358
S113,0.403,20,CZ,18,Low,BA,N400,1.2170230332268686,-0.24016974940446695,1.852141871717122,1.7845563861983516,-1.2964590206452358
S113,-0.4,21,C4,18,Low,BA,N400,1.2170230332268686,-0.24016974940446695,1.852141871717122,1.7845563861983516,-1.2964590206452358
S113,-1.487,22,T8,18,Low,BA,N400,1.2170230332268686,-0.24016974940446695,1.852141871717122,1.7845563861983516,-1.2964590206452358
S113,-1.142,23,FC6,18,Low,BA,N400,1.2170230332268686,-0.24016974940446695,1.852141871717122,1.7845563861983516,-1.2964590206452358
S113,-0.286,24,FC2,18,Low,BA,N400,1.2170230332268686,-0.24016974940446695,1.852141871717122,1.7845563861983516,-1.2964590206452358
S113,0.675,25,F4,18,Low,BA,N400,1.2170230332268686,-0.24016974940446695,1.852141871717122,1.7845563861983516,-1.2964590206452358
S113,-0.413,26,F8,18,Low,BA,N400,1.2170230332268686,-0.24016974940446695,1.852141871717122,1.7845563861983516,-1.2964590206452358
S113,1.565,27,FP2,18,Low,BA,N400,1.2170230332268686,-0.24016974940446695,1.852141871717122,1.7845563861983516,-1.2964590206452358
S115,-6.963,1,FP1,17,High,BA,N400,0.6932409682937858,-0.08161107989472187,-0.8316314340282359,-0.12245195630947985,0.00775115247089937
S115,4.059,2,Fz,17,High,BA,N400,0.6932409682937858,-0.08161107989472187,-0.8316314340282359,-0.12245195630947985,0.00775115247089937
S115,1.429,3,F3,17,High,BA,N400,0.6932409682937858,-0.08161107989472187,-0.8316314340282359,-0.12245195630947985,0.00775115247089937
S115,4.285,4,F7,17,High,BA,N400,0.6932409682937858,-0.08161107989472187,-0.8316314340282359,-0.12245195630947985,0.00775115247089937
S115,2.787,5,FC5,17,High,BA,N400,0.6932409682937858,-0.08161107989472187,-0.8316314340282359,-0.12245195630947985,0.00775115247089937
S115,7.068,6,FC1,17,High,BA,N400,0.6932409682937858,-0.08161107989472187,-0.8316314340282359,-0.12245195630947985,0.00775115247089937
S115,8.948,7,C3,17,High,BA,N400,0.6932409682937858,-0.08161107989472187,-0.8316314340282359,-0.12245195630947985,0.00775115247089937
S115,5.5,8,T7,17,High,BA,N400,0.6932409682937858,-0.08161107989472187,-0.8316314340282359,-0.12245195630947985,0.00775115247089937
S115,6.642,9,CP5,17,High,BA,N400,0.6932409682937858,-0.08161107989472187,-0.8316314340282359,-0.12245195630947985,0.00775115247089937
S115,12.346,10,CP1,17,High,BA,N400,0.6932409682937858,-0.08161107989472187,-0.8316314340282359,-0.12245195630947985,0.00775115247089937
S115,15.386,11,Pz,17,High,BA,N400,0.6932409682937858,-0.08161107989472187,-0.8316314340282359,-0.12245195630947985,0.00775115247089937
S115,14.579,12,P3,17,High,BA,N400,0.6932409682937858,-0.08161107989472187,-0.8316314340282359,-0.12245195630947985,0.00775115247089937
S115,6.272,13,P7,17,High,BA,N400,0.6932409682937858,-0.08161107989472187,-0.8316314340282359,-0.12245195630947985,0.00775115247089937
S115,6.441,14,O1,17,High,BA,N400,0.6932409682937858,-0.08161107989472187,-0.8316314340282359,-0.12245195630947985,0.00775115247089937
S115,0.253,15,O2,17,High,BA,N400,0.6932409682937858,-0.08161107989472187,-0.8316314340282359,-0.12245195630947985,0.00775115247089937
S115,10.351,16,P4,17,High,BA,N400,0.6932409682937858,-0.08161107989472187,-0.8316314340282359,-0.12245195630947985,0.00775115247089937
S115,5.382,17,P8,17,High,BA,N400,0.6932409682937858,-0.08161107989472187,-0.8316314340282359,-0.12245195630947985,0.00775115247089937
S115,4.671,18,CP6,17,High,BA,N400,0.6932409682937858,-0.08161107989472187,-0.8316314340282359,-0.12245195630947985,0.00775115247089937
S115,9.939,19,CP2,17,High,BA,N400,0.6932409682937858,-0.08161107989472187,-0.8316314340282359,-0.12245195630947985,0.00775115247089937
S115,10.744,20,CZ,17,High,BA,N400,0.6932409682937858,-0.08161107989472187,-0.8316314340282359,-0.12245195630947985,0.00775115247089937
S115,5.329,21,C4,17,High,BA,N400,0.6932409682937858,-0.08161107989472187,-0.8316314340282359,-0.12245195630947985,0.00775115247089937
S115,18.784,22,T8,17,High,BA,N400,0.6932409682937858,-0.08161107989472187,-0.8316314340282359,-0.12245195630947985,0.00775115247089937
S115,4.721,23,FC6,17,High,BA,N400,0.6932409682937858,-0.08161107989472187,-0.8316314340282359,-0.12245195630947985,0.00775115247089937
S115,6.474,24,FC2,17,High,BA,N400,0.6932409682937858,-0.08161107989472187,-0.8316314340282359,-0.12245195630947985,0.00775115247089937
S115,4.176,25,F4,17,High,BA,N400,0.6932409682937858,-0.08161107989472187,-0.8316314340282359,-0.12245195630947985,0.00775115247089937
S115,1.525,26,F8,17,High,BA,N400,0.6932409682937858,-0.08161107989472187,-0.8316314340282359,-0.12245195630947985,0.00775115247089937
S115,-5.354,27,FP2,17,High,BA,N400,0.6932409682937858,-0.08161107989472187,-0.8316314340282359,-0.12245195630947985,0.00775115247089937
S115,-11.345,1,FP1,18,Low,BA,N400,0.6932409682937858,-0.08161107989472187,-0.8316314340282359,-0.12245195630947985,0.00775115247089937
S115,3.266,2,Fz,18,Low,BA,N400,0.6932409682937858,-0.08161107989472187,-0.8316314340282359,-0.12245195630947985,0.00775115247089937
S115,-0.454,3,F3,18,Low,BA,N400,0.6932409682937858,-0.08161107989472187,-0.8316314340282359,-0.12245195630947985,0.00775115247089937
S115,1.863,4,F7,18,Low,BA,N400,0.6932409682937858,-0.08161107989472187,-0.8316314340282359,-0.12245195630947985,0.00775115247089937
S115,2.175,5,FC5,18,Low,BA,N400,0.6932409682937858,-0.08161107989472187,-0.8316314340282359,-0.12245195630947985,0.00775115247089937
S115,6.312,6,FC1,18,Low,BA,N400,0.6932409682937858,-0.08161107989472187,-0.8316314340282359,-0.12245195630947985,0.00775115247089937
S115,5.237,7,C3,18,Low,BA,N400,0.6932409682937858,-0.08161107989472187,-0.8316314340282359,-0.12245195630947985,0.00775115247089937
S115,-3.486,8,T7,18,Low,BA,N400,0.6932409682937858,-0.08161107989472187,-0.8316314340282359,-0.12245195630947985,0.00775115247089937
S115,2.195,9,CP5,18,Low,BA,N400,0.6932409682937858,-0.08161107989472187,-0.8316314340282359,-0.12245195630947985,0.00775115247089937
S115,8.554,10,CP1,18,Low,BA,N400,0.6932409682937858,-0.08161107989472187,-0.8316314340282359,-0.12245195630947985,0.00775115247089937
S115,10.829,11,Pz,18,Low,BA,N400,0.6932409682937858,-0.08161107989472187,-0.8316314340282359,-0.12245195630947985,0.00775115247089937
S115,6.312,12,P3,18,Low,BA,N400,0.6932409682937858,-0.08161107989472187,-0.8316314340282359,-0.12245195630947985,0.00775115247089937
S115,0.409,13,P7,18,Low,BA,N400,0.6932409682937858,-0.08161107989472187,-0.8316314340282359,-0.12245195630947985,0.00775115247089937
S115,-3.546,14,O1,18,Low,BA,N400,0.6932409682937858,-0.08161107989472187,-0.8316314340282359,-0.12245195630947985,0.00775115247089937
S115,-7.729,15,O2,18,Low,BA,N400,0.6932409682937858,-0.08161107989472187,-0.8316314340282359,-0.12245195630947985,0.00775115247089937
S115,4.894,16,P4,18,Low,BA,N400,0.6932409682937858,-0.08161107989472187,-0.8316314340282359,-0.12245195630947985,0.00775115247089937
S115,-0.275,17,P8,18,Low,BA,N400,0.6932409682937858,-0.08161107989472187,-0.8316314340282359,-0.12245195630947985,0.00775115247089937
S115,0.366,18,CP6,18,Low,BA,N400,0.6932409682937858,-0.08161107989472187,-0.8316314340282359,-0.12245195630947985,0.00775115247089937
S115,6.744,19,CP2,18,Low,BA,N400,0.6932409682937858,-0.08161107989472187,-0.8316314340282359,-0.12245195630947985,0.00775115247089937
S115,7.66,20,CZ,18,Low,BA,N400,0.6932409682937858,-0.08161107989472187,-0.8316314340282359,-0.12245195630947985,0.00775115247089937
S115,3.094,21,C4,18,Low,BA,N400,0.6932409682937858,-0.08161107989472187,-0.8316314340282359,-0.12245195630947985,0.00775115247089937
S115,14.081,22,T8,18,Low,BA,N400,0.6932409682937858,-0.08161107989472187,-0.8316314340282359,-0.12245195630947985,0.00775115247089937
S115,1.44,23,FC6,18,Low,BA,N400,0.6932409682937858,-0.08161107989472187,-0.8316314340282359,-0.12245195630947985,0.00775115247089937
S115,6.41,24,FC2,18,Low,BA,N400,0.6932409682937858,-0.08161107989472187,-0.8316314340282359,-0.12245195630947985,0.00775115247089937
S115,2.511,25,F4,18,Low,BA,N400,0.6932409682937858,-0.08161107989472187,-0.8316314340282359,-0.12245195630947985,0.00775115247089937
S115,-1.556,26,F8,18,Low,BA,N400,0.6932409682937858,-0.08161107989472187,-0.8316314340282359,-0.12245195630947985,0.00775115247089937
S115,-9.383,27,FP2,18,Low,BA,N400,0.6932409682937858,-0.08161107989472187,-0.8316314340282359,-0.12245195630947985,0.00775115247089937
S117,2.901,1,FP1,17,High,BA,N400,-1.0526992481498236,-0.24016974940446695,-2.5569142734359662,-2.355333802047077,1.081611712758357
S117,-19.42,2,Fz,17,High,BA,N400,-1.0526992481498236,-0.24016974940446695,-2.5569142734359662,-2.355333802047077,1.081611712758357
S117,-4.305,3,F3,17,High,BA,N400,-1.0526992481498236,-0.24016974940446695,-2.5569142734359662,-2.355333802047077,1.081611712758357
S117,-2.538,4,F7,17,High,BA,N400,-1.0526992481498236,-0.24016974940446695,-2.5569142734359662,-2.355333802047077,1.081611712758357
S117,-3.819,5,FC5,17,High,BA,N400,-1.0526992481498236,-0.24016974940446695,-2.5569142734359662,-2.355333802047077,1.081611712758357
S117,-9.109,6,FC1,17,High,BA,N400,-1.0526992481498236,-0.24016974940446695,-2.5569142734359662,-2.355333802047077,1.081611712758357
S117,-6.083,7,C3,17,High,BA,N400,-1.0526992481498236,-0.24016974940446695,-2.5569142734359662,-2.355333802047077,1.081611712758357
S117,-3.18,8,T7,17,High,BA,N400,-1.0526992481498236,-0.24016974940446695,-2.5569142734359662,-2.355333802047077,1.081611712758357
S117,-3.458,9,CP5,17,High,BA,N400,-1.0526992481498236,-0.24016974940446695,-2.5569142734359662,-2.355333802047077,1.081611712758357
S117,-3.999,10,CP1,17,High,BA,N400,-1.0526992481498236,-0.24016974940446695,-2.5569142734359662,-2.355333802047077,1.081611712758357
S117,0.231,11,Pz,17,High,BA,N400,-1.0526992481498236,-0.24016974940446695,-2.5569142734359662,-2.355333802047077,1.081611712758357
S117,-0.638,12,P3,17,High,BA,N400,-1.0526992481498236,-0.24016974940446695,-2.5569142734359662,-2.355333802047077,1.081611712758357
S117,-0.72,13,P7,17,High,BA,N400,-1.0526992481498236,-0.24016974940446695,-2.5569142734359662,-2.355333802047077,1.081611712758357
S117,1.526,14,O1,17,High,BA,N400,-1.0526992481498236,-0.24016974940446695,-2.5569142734359662,-2.355333802047077,1.081611712758357
S117,2.526,15,O2,17,High,BA,N400,-1.0526992481498236,-0.24016974940446695,-2.5569142734359662,-2.355333802047077,1.081611712758357
S117,0.032,16,P4,17,High,BA,N400,-1.0526992481498236,-0.24016974940446695,-2.5569142734359662,-2.355333802047077,1.081611712758357
S117,-1.743,17,P8,17,High,BA,N400,-1.0526992481498236,-0.24016974940446695,-2.5569142734359662,-2.355333802047077,1.081611712758357
S117,-1.69,18,CP6,17,High,BA,N400,-1.0526992481498236,-0.24016974940446695,-2.5569142734359662,-2.355333802047077,1.081611712758357
S117,-2.987,19,CP2,17,High,BA,N400,-1.0526992481498236,-0.24016974940446695,-2.5569142734359662,-2.355333802047077,1.081611712758357
S117,-6.262,20,CZ,17,High,BA,N400,-1.0526992481498236,-0.24016974940446695,-2.5569142734359662,-2.355333802047077,1.081611712758357
S117,-2.508,21,C4,17,High,BA,N400,-1.0526992481498236,-0.24016974940446695,-2.5569142734359662,-2.355333802047077,1.081611712758357
S117,-3.391,22,T8,17,High,BA,N400,-1.0526992481498236,-0.24016974940446695,-2.5569142734359662,-2.355333802047077,1.081611712758357
S117,-5.032,23,FC6,17,High,BA,N400,-1.0526992481498236,-0.24016974940446695,-2.5569142734359662,-2.355333802047077,1.081611712758357
S117,-4.276,24,FC2,17,High,BA,N400,-1.0526992481498236,-0.24016974940446695,-2.5569142734359662,-2.355333802047077,1.081611712758357
S117,-5.518,25,F4,17,High,BA,N400,-1.0526992481498236,-0.24016974940446695,-2.5569142734359662,-2.355333802047077,1.081611712758357
S117,-3.397,26,F8,17,High,BA,N400,-1.0526992481498236,-0.24016974940446695,-2.5569142734359662,-2.355333802047077,1.081611712758357
S117,17.204,27,FP2,17,High,BA,N400,-1.0526992481498236,-0.24016974940446695,-2.5569142734359662,-2.355333802047077,1.081611712758357
S117,0.824,1,FP1,18,Low,BA,N400,-1.0526992481498236,-0.24016974940446695,-2.5569142734359662,-2.355333802047077,1.081611712758357
S117,-9.821,2,Fz,18,Low,BA,N400,-1.0526992481498236,-0.24016974940446695,-2.5569142734359662,-2.355333802047077,1.081611712758357
S117,-1.836,3,F3,18,Low,BA,N400,-1.0526992481498236,-0.24016974940446695,-2.5569142734359662,-2.355333802047077,1.081611712758357
S117,0.275,4,F7,18,Low,BA,N400,-1.0526992481498236,-0.24016974940446695,-2.5569142734359662,-2.355333802047077,1.081611712758357
S117,-0.342,5,FC5,18,Low,BA,N400,-1.0526992481498236,-0.24016974940446695,-2.5569142734359662,-2.355333802047077,1.081611712758357
S117,-2.77,6,FC1,18,Low,BA,N400,-1.0526992481498236,-0.24016974940446695,-2.5569142734359662,-2.355333802047077,1.081611712758357
S117,-2.233,7,C3,18,Low,BA,N400,-1.0526992481498236,-0.24016974940446695,-2.5569142734359662,-2.355333802047077,1.081611712758357
S117,-0.249,8,T7,18,Low,BA,N400,-1.0526992481498236,-0.24016974940446695,-2.5569142734359662,-2.355333802047077,1.081611712758357
S117,-1.333,9,CP5,18,Low,BA,N400,-1.0526992481498236,-0.24016974940446695,-2.5569142734359662,-2.355333802047077,1.081611712758357
S117,-1.729,10,CP1,18,Low,BA,N400,-1.0526992481498236,-0.24016974940446695,-2.5569142734359662,-2.355333802047077,1.081611712758357
S117,0.703,11,Pz,18,Low,BA,N400,-1.0526992481498236,-0.24016974940446695,-2.5569142734359662,-2.355333802047077,1.081611712758357
S117,1.094,12,P3,18,Low,BA,N400,-1.0526992481498236,-0.24016974940446695,-2.5569142734359662,-2.355333802047077,1.081611712758357
S117,-0.556,13,P7,18,Low,BA,N400,-1.0526992481498236,-0.24016974940446695,-2.5569142734359662,-2.355333802047077,1.081611712758357
S117,1.199,14,O1,18,Low,BA,N400,-1.0526992481498236,-0.24016974940446695,-2.5569142734359662,-2.355333802047077,1.081611712758357
S117,0.444,15,O2,18,Low,BA,N400,-1.0526992481498236,-0.24016974940446695,-2.5569142734359662,-2.355333802047077,1.081611712758357
S117,2.547,16,P4,18,Low,BA,N400,-1.0526992481498236,-0.24016974940446695,-2.5569142734359662,-2.355333802047077,1.081611712758357
S117,-0.344,17,P8,18,Low,BA,N400,-1.0526992481498236,-0.24016974940446695,-2.5569142734359662,-2.355333802047077,1.081611712758357
S117,0.334,18,CP6,18,Low,BA,N400,-1.0526992481498236,-0.24016974940446695,-2.5569142734359662,-2.355333802047077,1.081611712758357
S117,0.568,19,CP2,18,Low,BA,N400,-1.0526992481498236,-0.24016974940446695,-2.5569142734359662,-2.355333802047077,1.081611712758357
S117,-1.113,20,CZ,18,Low,BA,N400,-1.0526992481498236,-0.24016974940446695,-2.5569142734359662,-2.355333802047077,1.081611712758357
S117,-0.871,21,C4,18,Low,BA,N400,-1.0526992481498236,-0.24016974940446695,-2.5569142734359662,-2.355333802047077,1.081611712758357
S117,-0.875,22,T8,18,Low,BA,N400,-1.0526992481498236,-0.24016974940446695,-2.5569142734359662,-2.355333802047077,1.081611712758357
S117,2.585,23,FC6,18,Low,BA,N400,-1.0526992481498236,-0.24016974940446695,-2.5569142734359662,-2.355333802047077,1.081611712758357
S117,-0.261,24,FC2,18,Low,BA,N400,-1.0526992481498236,-0.24016974940446695,-2.5569142734359662,-2.355333802047077,1.081611712758357
S117,-1.08,25,F4,18,Low,BA,N400,-1.0526992481498236,-0.24016974940446695,-2.5569142734359662,-2.355333802047077,1.081611712758357
S117,1.447,26,F8,18,Low,BA,N400,-1.0526992481498236,-0.24016974940446695,-2.5569142734359662,-2.355333802047077,1.081611712758357
S117,10.212,27,FP2,18,Low,BA,N400,-1.0526992481498236,-0.24016974940446695,-2.5569142734359662,-2.355333802047077,1.081611712758357
S119,6.478,1,FP1,17,High,BA,N400,0.3440529250050639,-0.5572870884239571,1.0853494986470198,0.6097650678442574,-1.0036445763827926
S119,3.053,2,Fz,17,High,BA,N400,0.3440529250050639,-0.5572870884239571,1.0853494986470198,0.6097650678442574,-1.0036445763827926
S119,5.97,3,F3,17,High,BA,N400,0.3440529250050639,-0.5572870884239571,1.0853494986470198,0.6097650678442574,-1.0036445763827926
S119,2.339,4,F7,17,High,BA,N400,0.3440529250050639,-0.5572870884239571,1.0853494986470198,0.6097650678442574,-1.0036445763827926
S119,2.927,5,FC5,17,High,BA,N400,0.3440529250050639,-0.5572870884239571,1.0853494986470198,0.6097650678442574,-1.0036445763827926
S119,4.926,6,FC1,17,High,BA,N400,0.3440529250050639,-0.5572870884239571,1.0853494986470198,0.6097650678442574,-1.0036445763827926
S119,2.882,7,C3,17,High,BA,N400,0.3440529250050639,-0.5572870884239571,1.0853494986470198,0.6097650678442574,-1.0036445763827926
S119,-3.928,8,T7,17,High,BA,N400,0.3440529250050639,-0.5572870884239571,1.0853494986470198,0.6097650678442574,-1.0036445763827926
S119,5.066,9,CP5,17,High,BA,N400,0.3440529250050639,-0.5572870884239571,1.0853494986470198,0.6097650678442574,-1.0036445763827926
S119,5.392,10,CP1,17,High,BA,N400,0.3440529250050639,-0.5572870884239571,1.0853494986470198,0.6097650678442574,-1.0036445763827926
S119,6.108,11,Pz,17,High,BA,N400,0.3440529250050639,-0.5572870884239571,1.0853494986470198,0.6097650678442574,-1.0036445763827926
S119,7.362,12,P3,17,High,BA,N400,0.3440529250050639,-0.5572870884239571,1.0853494986470198,0.6097650678442574,-1.0036445763827926
S119,-0.598,13,P7,17,High,BA,N400,0.3440529250050639,-0.5572870884239571,1.0853494986470198,0.6097650678442574,-1.0036445763827926
S119,0.542,14,O1,17,High,BA,N400,0.3440529250050639,-0.5572870884239571,1.0853494986470198,0.6097650678442574,-1.0036445763827926
